,rating,url
1287,Rating: 4.2 out of 5,https://www.udemy.com/cartoonycharacters/
1288,Rating: 3.7 out of 5,https://www.udemy.com/learn-blender-3d-in-under-2-hours-the-intro-course/
1289,Rating: 4.6 out of 5,https://www.udemy.com/udemy-master-inkscape-beginner-course-20162017-unofficial/
1290,Rating: 4.5 out of 5,https://www.udemy.com/make-your-self-a-santa-claus-merry-christmas/
1291,warning alert,https://www.udemy.com/become-an-indesign-pro-in-10-skills/
1292,Rating: 4.3 out of 5,https://www.udemy.com/digital-illustration/
1293,Rating: 3.6 out of 5,https://www.udemy.com/learn-basics-of-adobe-illustrator-under-30-minutes/
1294,Rating: 4.8 out of 5,https://www.udemy.com/how-to-draw-the-human-figure-10-hours/
1295,Rating: 3.7 out of 5,https://www.udemy.com/logo-design-in-powerpoint-create-logos/
1296,Rating: 4.7 out of 5,https://www.udemy.com/photoshop-cc-masterclass/
1297,Rating: 4.5 out of 5,https://www.udemy.com/become-a-logo-designer/
1298,Rating: 4.0 out of 5,https://www.udemy.com/learn-illustrator/
1299,warning alert,https://www.udemy.com/illustrative-surface-patterns-design-from-life-moments-to-products/
1300,Rating: 4.7 out of 5,https://www.udemy.com/effective-ios-android-app-icon-design/
1301,information alert,https://www.udemy.com/creating-an-animated-greeting-card-via-google-slides/
1302,Rating: 4.1 out of 5,https://www.udemy.com/photoshop-painting-tutorial/
1303,Rating: 4.5 out of 5,https://www.udemy.com/photoshop-egyptian-arabic/
1304,information alert,https://www.udemy.com/learn-to-make-fancy-tech-circles-in-photoshop-in-30-minutes/
1305,Rating: 4.4 out of 5,https://www.udemy.com/graphic-design-the-quick-guide/
1306,information alert,https://www.udemy.com/learn-corel-x7/
1307,information alert,https://www.udemy.com/make-tech-circles-in-adobe-illustrator-in-30-minutes/
1308,Rating: 3.8 out of 5,https://www.udemy.com/easy-illustration-and-2d-animation/
1309,information alert,https://www.udemy.com/make-tech-circles-in-adobe-photoshop-and-illustrator/
1310,warning alert,https://www.udemy.com/turn-your-photos-into-professional-and-modern-artworks/
1311,Rating: 4.4 out of 5,https://www.udemy.com/calligraphy-for-beginners-creating-strong-lines/
1312,Rating: 4.3 out of 5,https://www.udemy.com/canva-make-album-covers-for-free/
1313,Rating: 4.3 out of 5,https://www.udemy.com/getting-started-with-photoshop-cc2/
1314,information alert,https://www.udemy.com/learn-adobe-photoshop-in-1-hour/
1315,Rating: 4.2 out of 5,https://www.udemy.com/flatting/
1316,Rating: 4.6 out of 5,https://www.udemy.com/illustrator-free-creating-stylised-images-from-a-photo-using-trace/
1317,Rating: 3.4 out of 5,https://www.udemy.com/gimp-in-depth-essential-training-course/
1318,information alert,https://www.udemy.com/photoshop-cc-naked-series/
1319,"Valutazione: 4,5 su 5",https://www.udemy.com/corso-completo-di-e-on-vue-x-stream-per-tutti/
1320,警告提醒,https://www.udemy.com/illustrator-u/
1321,warning alert,https://www.udemy.com/ilustracion-de-la-a-a-la-z/
1322,warning alert,https://www.udemy.com/aprende-diseno-grafico-facil-y-rapido/
1323,評価: 2.5（5段階中）,https://www.udemy.com/blender-beginner/
1324,警告提醒,https://www.udemy.com/dezepioy/
1325,information alert,https://www.udemy.com/coreldraw-para-eventos/
1326,information alert,https://www.udemy.com/infodesign/
1327,information alert,https://www.udemy.com/circular-templates-vegas/
1328,information alert,https://www.udemy.com/affinity-designer-tworzenie-wzorkow/
1329,warning alert,https://www.udemy.com/photoshop-creando-efectos-de-luz/
