,name,institution,is_university,level,students,rating,first_review_on
68,digital product management: modern fundamentals,university of virginia,1,beginner,58000,4.7,2017-05-01
69,data science math skills,duke university,1,beginner,140000,4.5,2017-01-15
70,structuring machine learning projects,deeplearning.ai,0,beginner,220000,4.7,2017-08-11
71,an introduction to american law,university of pennsylvania,1,beginner,23000,4.9,2015-09-13
72,the strategy of content marketing,"university of california, davis",1,intermediate,100000,4.5,2017-02-06
73,introduction to cybersecurity tools & cyber attacks,ibm,0,beginner,30000,4.3,2019-07-19
74,the data scientist’s toolbox,johns hopkins university,1,mixed,420000,4.5,2015-12-01
75,animal behaviour and welfare,the university of edinburgh,1,mixed,71000,4.8,2015-11-02
76,convolutional neural networks in tensorflow,deeplearning.ai,0,intermediate,46000,4.5,2019-04-21
77,positive psychology: martin e. p. seligman’s visionary science,university of pennsylvania,1,beginner,50000,4.9,2017-04-02
78,introduction to the biology of cancer,johns hopkins university,1,beginner,110000,4.8,2016-04-11
79,convolutional neural networks,deeplearning.ai,0,intermediate,240000,3.9,2017-11-03
80,using python to access web data,university of michigan,1,mixed,310000,4.7,2015-10-27
81,introductory human physiology,duke university,1,mixed,270000,4.8,2015-08-07
82,introduction to systematic review and meta-analysis,johns hopkins university,1,mixed,67000,4.8,2016-03-22
83,communication strategies for a virtual age,university of toronto,1,beginner,43000,4.9,2018-08-28
84,moral foundations of politics,yale university,1,mixed,100000,4.9,2015-08-14
85,étudier en france: french intermediate course b1-b2,école polytechnique,1,intermediate,190000,4.8,2016-12-09
86,managing the company of the future,london business school,1,-,0,4.8,2016-01-25
87,finance for non-finance professionals,rice university,1,beginner,69000,4.8,2016-10-14
88,site reliability engineering: measuring and managing reliability,google cloud,0,expert,16000,4.3,2019-02-15
89,autism spectrum disorder,"university of california, davis",1,mixed,56000,4.7,2015-12-18
90,data science methodology,ibm,0,beginner,89000,4.3,2018-04-20
91,introduction to financial accounting,university of pennsylvania,1,mixed,200000,4.8,2015-11-04
92,marketing in a digital world,university of illinois at urbana-champaign,1,beginner,310000,4.7,2015-08-07
93,wind energy,technical university of denmark (dtu),1,-,0,4.7,2016-03-03
94,principles of sustainable finance,erasmus university rotterdam,1,-,0,4.9,2020-05-18
95,financial engineering and risk management part i,columbia university,1,mixed,100000,4.4,2015-08-08
96,introduction to philosophy,the university of edinburgh,1,mixed,370000,4.7,2015-08-07
97,business metrics for data-driven companies,duke university,1,-,0,4.6,2015-09-06
98,python basics,university of michigan,1,beginner,110000,4.8,2018-12-14
99,introduction to sustainability,university of illinois at urbana-champaign,1,mixed,69000,4.8,2015-08-29
100,positive psychiatry and mental health,the university of sydney,1,mixed,72000,4.9,2017-08-03
101,cryptography i,stanford university,1,-,0,4.8,2016-02-16
102,learning to teach online,unsw sydney (the university of new south wales),1,beginner,68000,4.8,2016-10-13
103,it security: defense against the digital dark arts,google,0,beginner,62000,4.8,2018-01-28
104,entreprise et changement climatique,essec business school,1,-,0,5.0,2020-09-30
105,an introduction to consumer neuroscience & neuromarketing,copenhagen business school,1,beginner,69000,4.7,2016-10-05
106,gamification,university of pennsylvania,1,mixed,110000,4.8,2015-11-09
107,contabilidad para no contadores,universidad nacional autónoma de méxico,1,beginner,220000,4.8,2016-11-24
108,using python to interact with the operating system,google,0,beginner,19000,4.6,2020-01-18
109,object-oriented data structures in c++,university of illinois at urbana-champaign,1,intermediate,21000,4.6,2019-03-05
110,google cloud platform big data and machine learning fundamentals,google cloud,0,intermediate,120000,4.6,2017-03-10
111,databases and sql for data science,ibm,0,beginner,110000,4.4,2018-06-18
112,natural language processing in tensorflow,deeplearning.ai,0,intermediate,40000,4.2,2019-06-20
113,"advanced valuation and strategy - m&a, private equity, and venture capital",erasmus university rotterdam,1,expert,29000,4.6,2018-09-20
114,natural language processing with probabilistic models,deeplearning.ai,0,-,0,4.6,2020-06-27
115,vital signs: understanding what the body is telling us,university of pennsylvania,1,mixed,190000,4.8,2016-03-02
116,understanding research methods,university of london,1,-,0,4.6,2015-08-12
117,ibm customer engagement specialist professional certificate,ibm,0,beginner,3300,4.9,2018-10-27
118,introduction to calculus,the university of sydney,1,intermediate,53000,4.9,2018-12-28
119,camino a la excelencia en gestión de proyectos,pontificia universidad católica de chile,1,beginner,340000,4.6,2016-10-02
120,introduction to html5,university of michigan,1,mixed,220000,4.0,2015-09-06
121,wine tasting: sensory techniques for wine analysis,"university of california, davis",1,beginner,32000,4.3,2017-01-18
122,excel skills for business: intermediate i,macquarie university,1,intermediate,76000,4.9,2017-11-09
123,"programming foundations with javascript, html and css",duke university,1,beginner,250000,4.5,2015-09-17
124,build a modern computer from first principles: from nand to tetris (project-centered course),hebrew university of jerusalem,1,mixed,95000,4.9,2016-02-19
125,food & beverage management,università bocconi,1,mixed,57000,4.8,2015-09-14
126,data analysis with python,ibm,0,beginner,110000,4.5,2018-05-11
127,project planning,"university of california, irvine",1,-,0,4.3,2017-10-19
128,agile meets design thinking,university of virginia,1,beginner,69000,4.8,2016-02-21
129,aws fundamentals: going cloud-native,amazon web services,0,beginner,110000,4.7,2018-11-18
130,construction project management,columbia university,1,beginner,43000,4.8,2016-09-29
131,introduction to mathematical thinking,stanford university,1,intermediate,270000,4.8,2017-01-11
132,everyday parenting: the abcs of child rearing,yale university,1,beginner,86000,4.9,2017-08-17
133,introduction to healthcare,stanford university,1,-,0,4.0,2020-09-09
134,machine learning with python,ibm,0,intermediate,120000,4.5,2018-08-21
135,terrorism and counterterrorism: comparing theory and practice,universiteit leiden,0,beginner,90000,4.7,2015-08-07
136,data management for clinical research,vanderbilt university,1,beginner,42000,4.8,2016-07-08
137,sustainable fashion,copenhagen business school,1,-,0,4.8,2019-12-05
138,foundations of data science: k-means clustering in python,university of london,1,-,0,4.7,2019-06-04
139,instructional design foundations and applications,university of illinois at urbana-champaign,1,mixed,12000,3.7,2019-01-14
140,cursos en línea: modelo para armar,universidad nacional autónoma de méxico,1,-,0,5.0,2020-08-31
141,modern art & ideas,the museum of modern art,0,beginner,310000,4.8,2015-09-03
142,"speak english professionally: in person, online & on the phone",georgia institute of technology,1,mixed,430000,4.8,2016-03-14
143,essential google cloud infrastructure: foundation,google cloud,0,intermediate,83000,4.7,2017-06-30
144,introduction to artificial intelligence (ai),ibm,0,beginner,44000,4.8,2019-06-28
145,dog emotion and cognition,duke university,1,mixed,150000,4.6,2015-08-12
146,international leadership and organizational behavior,università bocconi,1,mixed,41000,4.8,2015-11-06
147,driving business towards the sustainable development goals,erasmus university rotterdam,1,beginner,5600,4.9,2019-07-13
148,"the sustainable development goals – a global, transdisciplinary vision for the future",university of copenhagen,1,beginner,26000,4.8,2018-02-03
149,digital transformation,bcg,0,-,0,4.8,2018-02-28
150,sequence models,deeplearning.ai,0,intermediate,14000,4.6,2018-02-01
151,devenir entrepreneur du changement,hec paris,1,-,0,4.8,2015-09-05
152,seeing through photographs,the museum of modern art,0,-,0,4.8,2016-02-10
153,entrepreneurship 1: developing the opportunity,university of pennsylvania,1,mixed,86000,4.8,2016-02-10
154,introduction to search engine optimization,"university of california, davis",1,-,0,4.6,2016-02-09
155,learn to speak korean 1,yonsei university,1,beginner,120000,4.9,2016-07-27
156,drug development,university of california san diego,1,-,0,4.6,2016-11-13
157,r programming,johns hopkins university,1,intermediate,480000,4.2,2015-12-06
158,economics of money and banking,columbia university,1,mixed,83000,5.0,2016-09-18
159,chinese for beginners,peking university,1,-,0,4.8,2015-08-07
160,grammar and punctuation,"university of california, irvine",1,mixed,430000,4.8,2015-09-04
161,japanese for beginners 1,saint petersburg state university,1,beginner,4400,3.4,2020-05-18
162,introduction to english common law,university of london,1,-,0,4.8,2018-10-12
163,introduction to dental medicine,university of pennsylvania,1,beginner,25000,4.9,2016-05-31
164,fundamentals of reinforcement learning,alberta machine intelligence institute,1,-,0,4.7,2019-07-30
165,the power of macroeconomics: economic principles in the real world,"university of california, irvine",1,mixed,180000,4.6,2015-08-08
166,corporate sustainability. understanding and seizing the strategic opportunity,università bocconi,1,mixed,10000,4.6,2018-04-16
167,behavioral finance,duke university,1,mixed,55000,4.1,2016-08-02
168,"sequences, time series and prediction",deeplearning.ai,0,-,0,4.5,2019-07-31
169,supply chain logistics,rutgers the state university of new jersey,1,beginner,66000,4.7,2016-09-04
170,project execution,"university of california, irvine",1,beginner,70000,3.9,2017-12-21
171,nutrición y obesidad: control de sobrepeso,universidad nacional autónoma de méxico,1,beginner,100000,4.8,2019-01-04
172,microeconomics principles,university of illinois at urbana-champaign,1,beginner,73000,4.8,2016-06-21
173,creative writing: the craft of plot,wesleyan university,1,mixed,120000,4.7,2016-02-07
174,astronomy: exploring time and space,university of arizona,1,-,0,4.9,2015-08-20
175,oil & gas industry operations and markets,duke university,1,mixed,57000,4.8,2016-01-07
176,design thinking for innovation,university of virginia,1,beginner,240000,4.7,2015-10-27
177,edivet: do you have what it takes to be a veterinarian?,the university of edinburgh,1,-,0,4.7,2015-08-15
178,learn to program: the fundamentals,university of toronto,1,beginner,180000,4.7,2016-09-29
179,financial accounting fundamentals,university of virginia,1,beginner,65000,4.8,2017-04-21
180,finding purpose and meaning in life: living for what matters most,university of michigan,1,beginner,36000,4.8,2020-04-21
181,understanding clinical research: behind the statistics,university of cape town,1,mixed,78000,4.8,2015-12-02
182,epidemiology: the basic science of public health,the university of north carolina at chapel hill,1,mixed,130000,4.7,2015-08-08
183,fashion as design,the museum of modern art,0,beginner,180000,4.8,2017-09-30
184,teamwork skills: communicating effectively in groups,university of colorado boulder,1,beginner,49000,4.8,2017-07-31
185,feminism and social justice,"university of california, santa cruz",1,beginner,18000,4.8,2019-03-12
186,international organizations management,university of geneva,1,beginner,20000,4.8,2018-05-21
187,marketing digital,universidade de são paulo,1,beginner,81000,4.8,2018-04-02
188,fundamentals of gis,"university of california, davis",1,beginner,86000,4.9,2016-02-22
189,e-learning ecologies: innovative approaches to teaching and learning for the digital age,university of illinois at urbana-champaign,1,mixed,17000,4.5,2016-11-17
190,"excel/vba for creative problem solving, part 1",university of colorado boulder,1,beginner,54000,4.9,2017-12-31
191,rethinking international tax law,universiteit leiden,0,mixed,36000,4.8,2015-11-20
192,introduction to probability and data with r,duke university,1,-,0,4.6,2016-04-13
193,understanding and visualizing data with python,university of michigan,1,beginner,30000,4.6,2018-12-31
194,fundamentals of visualization with tableau,"university of california, davis",1,beginner,81000,4.4,2016-08-24
195,getting started with sas programming,sas,1,beginner,22000,4.9,2018-11-12
196,machine learning for all,university of london,1,beginner,19000,4.7,2019-12-09
197,using databases with python,university of michigan,1,mixed,220000,4.7,2015-12-14
198,addiction treatment: clinical skills for healthcare providers,yale university,1,beginner,9200,4.9,2020-01-18
199,dino 101: dinosaur paleobiology,university of alberta,1,beginner,35000,4.9,2016-09-18
200,sports marketing,northwestern university,1,intermediate,12000,4.7,2018-12-09
201,positive psychology,the university of north carolina at chapel hill,1,mixed,180000,4.7,2015-08-14
202,introduction to programming with matlab,vanderbilt university,1,beginner,270000,4.8,2016-04-30
203,preparing to manage human resources,university of minnesota,1,mixed,68000,4.9,2016-02-12
204,solar energy basics,the state university of new york,1,beginner,17000,4.8,2019-06-25
205,front-end web ui frameworks and tools: bootstrap 4,the hong kong university of science and technology,1,intermediate,89000,4.8,2017-07-01
206,building scalable java microservices with spring boot and spring cloud,google cloud,0,intermediate,24000,4.0,2019-02-27
207,introduction to forensic science,"nanyang technological university, singapore",1,mixed,47000,4.8,2016-06-30
208,google cloud product fundamentals,google cloud,0,-,0,4.7,2020-03-06
209,american contract law i,yale university,1,beginner,18000,4.8,2019-01-31
210,engineering health: introduction to yoga and physiology,new york university,1,beginner,14000,4.6,2019-10-07
211,ai for medical diagnosis,deeplearning.ai,0,intermediate,12000,4.6,2020-04-16
212,natural language processing with sequence models,deeplearning.ai,0,-,0,4.0,2020-07-29
213,introduction to electronics,georgia institute of technology,1,mixed,110000,4.7,2016-05-31
214,international humanitarian law in theory and practice,universiteit leiden,0,-,0,4.8,2018-11-28
215,making architecture,ie school of architecture & design,1,beginner,43000,4.8,2016-10-05
216,model thinking,university of michigan,1,mixed,130000,4.8,2015-10-07
217,supporting children with difficulties in reading and writing,university of london,1,-,0,4.8,2015-09-03
218,innovation management,erasmus university rotterdam,1,beginner,40000,4.7,2016-04-23
219,the manager's toolkit: a practical guide to managing people at work,"birkbeck, university of london",1,mixed,47000,4.7,2016-08-17
220,"the modern world, part one: global history from 1760 to 1910",university of virginia,1,beginner,130000,4.8,2015-08-28
221,supply chain principles,georgia institute of technology,1,mixed,29000,4.6,2017-04-25
222,essential google cloud infrastructure: core services,google cloud,0,intermediate,68000,4.7,2017-07-06
223,weight management: beyond balancing calories,emory university,1,beginner,34000,4.8,2019-03-19
224,miracles of human language: an introduction to linguistics,universiteit leiden,0,beginner,120000,4.7,2016-05-09
225,java programming: solving problems with software,duke university,1,beginner,160000,4.5,2015-10-16
226,race and cultural diversity in american life and history,university of illinois at urbana-champaign,1,-,0,4.4,2018-02-08
227,inspiring and motivating individuals,university of michigan,1,mixed,85000,4.8,2015-09-15
228,"competencias digitales. herramientas de ofimática (microsoft word, excel, power point)",universitat autònoma de barcelona,0,beginner,43000,4.8,2019-07-02
229,healing with the arts,university of florida,1,mixed,39000,4.7,2017-03-02
230,people analytics,university of pennsylvania,1,mixed,84000,4.5,2015-12-09
231,what is social?,northwestern university,1,mixed,94000,4.6,2015-09-17
232,ux design fundamentals,california institute of the arts,1,beginner,25000,4.8,2018-11-14
233,creative thinking: techniques and tools for success,imperial college london,1,-,0,4.7,2020-02-19
234,introduction to classical music,yale university,1,mixed,150000,4.9,2015-12-16
235,children's human rights - an interdisciplinary introduction,university of geneva,1,-,0,4.6,2017-01-08
236,investment management in an evolving and volatile world by hec paris and axa investment managers,hec paris,1,-,0,4.6,2016-04-14
237,introduction to data analysis using excel,rice university,1,mixed,99000,4.7,2016-09-26
238,mind control: managing your mental health during covid-19,university of toronto,1,-,0,4.8,2020-03-28
239,introduction to international criminal law,case western reserve university,1,mixed,82000,4.8,2015-08-07
240,"fintech: foundations, payments, and regulations",university of pennsylvania,1,beginner,12000,4.6,2019-06-05
241,greek and roman mythology,university of pennsylvania,1,mixed,260000,4.8,2016-02-26
242,politics and economics of international energy,sciences po,1,beginner,34000,4.7,2016-05-09
243,continuous delivery & devops,university of virginia,1,beginner,26000,4.5,2018-11-03
244,teach english now! foundational principles,arizona state university,1,mixed,81000,4.9,2015-10-12
245,business model innovation,hec paris,1,mixed,13000,4.7,2016-05-12
246,introduction to user experience principles and processes,university of michigan,1,beginner,16000,4.8,2018-12-12
247,beyond the sustainable development goals (sdgs): addressing sustainability and development,university of michigan,1,mixed,2300,4.8,2020-04-24
248,process mining: data science in action,eindhoven university of technology,1,intermediate,39000,4.8,2016-04-24
249,fundamentals of immunology: innate immunity and b-cell function,rice university,1,intermediate,18000,4.8,2019-02-06
250,introduction to corporate finance,university of pennsylvania,1,mixed,130000,4.4,2015-11-09
251,global diplomacy: the united nations in the world,university of london,1,-,0,4.7,2017-06-24
252,algorithmic toolbox,university of california san diego,1,intermediate,220000,4.5,2016-02-17
253,troubles du spectre de l'autisme : diagnostic,university of geneva,1,intermediate,5400,4.8,2020-01-03
254,anatomy: musculoskeletal and integumentary systems,university of michigan,1,beginner,20000,4.9,2019-01-28
255,a crash course in causality:  inferring causal effects from observational data,university of pennsylvania,1,intermediate,17000,4.7,2017-07-01
256,english for business and entrepreneurship,university of pennsylvania,1,beginner,230000,4.9,2016-05-15
257,natural language processing with attention models,deeplearning.ai,0,-,0,3.3,2020-09-25
258,what is compliance?,university of pennsylvania,1,mixed,6200,4.8,2019-04-10
259,getting started with google sheets,google cloud,0,beginner,18000,4.7,2019-11-05
260,data visualization with python,ibm,0,intermediate,66000,4.1,2018-06-16
261,foundations of mindfulness,rice university,1,-,0,4.8,2020-07-09
262,negociación exitosa: estrategias y habilidades esenciales (en español),university of michigan,1,mixed,95000,4.8,2015-08-10
263,data-driven decision making,pwc,0,beginner,120000,4.5,2016-08-24
264,fundamentals of engineering exam review,georgia institute of technology,1,mixed,49000,4.4,2015-09-29
265,gender and sexuality: diversity and inclusion in the workplace,university of pittsburgh,1,beginner,14000,4.7,2017-06-21
266,managerial accounting fundamentals,university of virginia,1,beginner,11000,4.9,2018-03-29
267,search engine optimization fundamentals,"university of california, davis",1,mixed,47000,4.7,2016-04-01
268,essentials of global health,yale university,1,mixed,31000,4.9,2016-12-05
269,international security management,erasmus university rotterdam,1,beginner,2200,4.6,2020-02-17
270,getting started with aws machine learning,amazon web services,0,intermediate,73000,4.4,2019-09-22
271,arts and heritage management,università bocconi,1,mixed,15000,4.8,2016-11-18
272,understanding einstein: the special theory of relativity,stanford university,1,beginner,89000,4.9,2016-09-24
273,réussir le changement,essec business school,1,mixed,33000,4.4,2016-03-04
274,equine welfare and management,"university of california, davis",1,beginner,7200,4.9,2018-07-24
275,international migrations: a global issue,sciences po,1,beginner,11000,4.3,2018-02-21
276,introduction to web development,"university of california, davis",1,beginner,76000,4.7,2016-09-28
277,writing and editing: word choice and word order,university of michigan,1,-,0,4.8,2020-05-25
278,introduction to the digital advertising landscape,university of colorado boulder,1,-,0,4.5,2020-01-14
279,access controls,(isc)²,0,beginner,2900,4.6,2018-04-19
280,engineering project management: initiating and planning,rice university,1,beginner,23000,4.8,2017-06-18
281,kotlin for java developers,jetbrains,0,intermediate,37000,4.5,2018-10-25
282,mathematics for machine learning: multivariate calculus,imperial college london,1,beginner,51000,4.7,2018-03-12
283,introduction to git and github,google,0,-,0,4.8,2020-01-22
284,industrial biotechnology,university of manchester,1,-,0,4.6,2017-07-27
285,the addicted brain,emory university,1,beginner,130000,4.5,2015-08-09
286,introducción a la programación en python i: aprendiendo a programar con python,pontificia universidad católica de chile,1,beginner,100000,4.2,2017-07-28
287,modernizing data lakes and data warehouses with gcp,google cloud,0,intermediate,9100,4.6,2020-01-03
288,drug discovery,university of california san diego,1,beginner,39000,4.6,2016-10-29
289,nutrition and lifestyle in pregnancy,ludwig-maximilians-universität münchen (lmu),1,intermediate,35000,4.8,2017-04-15
290,financial acumen for non-financial managers,university of pennsylvania,1,beginner,10000,4.1,2018-07-17
291,python and statistics for financial analysis,the hong kong university of science and technology,1,intermediate,41000,4.4,2019-01-08
292,bugs 101: insect-human interactions,university of alberta,1,beginner,15000,5.0,2019-07-12
293,autodesk certified professional: revit for architectural design exam prep,autodesk,0,expert,9700,4.8,2020-01-31
294,"leading for equity, diversity and inclusion in higher education",university of michigan,1,intermediate,5900,4.8,2017-08-18
295,enterprise architecture,peter the great st. petersburg polytechnic university,1,beginner,2400,4.5,2020-01-10
296,introduction to spreadsheets and models,university of pennsylvania,1,mixed,76000,3.6,2016-03-12
297,the arts and science of relationships: understanding human needs,university of toronto,1,beginner,73000,4.4,2017-04-07
298,essentials in clinical simulations across the health professions,the george washington university,1,intermediate,4100,4.8,2019-07-13
299,budgeting and scheduling projects,"university of california, irvine",1,mixed,84000,4.8,2015-08-07
300,machine learning for business professionals,google cloud,0,intermediate,58000,4.6,2019-04-19
301,introduction to accounting data analytics and visualization,university of illinois at urbana-champaign,1,-,0,4.9,2019-08-28
302,spanish vocabulary: meeting people,"university of california, davis",1,beginner,71000,4.5,2017-02-19
303,gestión empresarial exitosa para pymes,pontificia universidad católica de chile,1,-,0,4.9,2015-08-12
304,public policy challenges of the 21st century,university of virginia,1,beginner,52000,4.6,2015-08-12
305,international law in action: the arbitration of international disputes,universiteit leiden,0,mixed,19000,4.9,2018-02-08
306,introduction to ancient egypt and its civilization,university of pennsylvania,1,-,0,4.6,2016-11-01
307,financing and investing in infrastructure,università bocconi,1,mixed,24000,4.8,2016-07-12
308,global environmental management,technical university of denmark (dtu),1,intermediate,22000,4.7,2016-10-13
309,operations analytics,university of pennsylvania,1,mixed,80000,4.7,2015-11-02
310,entrepreneurship strategy: from ideation to exit,hec paris,1,beginner,20000,1.0,2019-05-01
311,fintech law and policy,duke university,1,beginner,9700,4.8,2018-08-06
312,the social context of mental health and illness,university of toronto,1,mixed,19000,4.6,2016-10-01
313,what is contemporary art?,the museum of modern art,0,beginner,120000,4.8,2019-12-12
314,the art of music production,berklee college of music,1,intermediate,47000,4.8,2016-06-05
315,biohacking your brain's health,emory university,1,beginner,35000,4.7,2018-08-19
316,bayesian statistics: from concept to data analysis,"university of california, santa cruz",1,intermediate,91000,4.4,2016-07-07
317,reporting extra-financier et stratégie rse,essec business school,1,beginner,5200,4.6,2017-07-01
318,leading healthcare quality and safety,the george washington university,1,beginner,16000,4.8,2016-07-06
319,understanding international relations theory,national research university higher school of economics,1,-,0,4.7,2018-03-16
320,introduction to data analytics,ibm,0,-,0,4.8,2020-09-18
321,fundamentos de excel para negocios,universidad austral,1,beginner,150000,4.8,2016-09-26
322,elastic google cloud infrastructure: scaling and automation,google cloud,0,intermediate,57000,4.6,2017-07-14
323,cultural competence - aboriginal sydney,the university of sydney,1,-,0,4.5,2017-05-10
324,fundamentos de finanzas empresariales,universidad de los andes,1,beginner,110000,4.9,2015-10-22
325,greening the economy: sustainable cities,lund university,1,beginner,56000,4.6,2016-01-22
326,introduction to engineering mechanics,georgia institute of technology,1,mixed,150000,4.8,2015-08-14
327,design-led strategy: design thinking for business strategy and entrepreneurship,the university of sydney,1,intermediate,19000,4.7,2018-06-12
328,biology meets programming: bioinformatics for beginners,university of california san diego,1,beginner,88000,4.2,2016-03-29
329,understanding medical research: your facebook friend is wrong,yale university,1,beginner,24000,4.9,2020-04-29
330,health behavior change: from evidence to action,yale university,1,-,0,4.9,2020-04-22
331,ordered data structures,university of illinois at urbana-champaign,1,-,0,4.7,2019-04-07
332,mindshift: break through obstacles to learning and discover your hidden potential,mcmaster university,1,beginner,230000,4.9,2017-04-13
333,programming fundamentals,duke university,1,beginner,19000,4.7,2017-11-28
334,understanding financial markets,university of geneva,1,-,0,4.7,2016-02-13
335,in the studio: postwar abstract painting,the museum of modern art,0,beginner,79000,4.9,2017-03-23
336,drug commercialization,university of california san diego,1,beginner,17000,4.6,2017-01-01
337,introduction to software product management,university of alberta,1,-,0,4.6,2015-10-05
338,"social norms, social change i",unicef,0,-,0,4.6,2016-06-23
339,excel skills for business: intermediate ii,macquarie university,1,intermediate,39000,4.7,2017-11-01
340,aboriginal worldviews and education,university of toronto,1,mixed,6600,4.6,2017-03-22
341,"information systems auditing, controls and assurance",the hong kong university of science and technology,1,-,0,4.7,2020-02-09
