name,institution,is_university,level,students,rating,first_review_on
разработка веб-сервисов на go - основы языка,moscow institute of physics and technology,1,-,0,4.7,2017-12-30
mastering data analysis in excel,duke university,1,mixed,280000,3.8,2015-10-17
basic statistics,university of amsterdam,1,beginner,180000,4.6,2016-01-05
"capstone: retrieving, processing, and visualizing data with python",university of michigan,1,mixed,82000,4.5,2016-04-06
design thinking for the greater good: innovation in the social sector,university of virginia,1,beginner,17000,4.6,2017-12-06
introduction to portfolio construction and analysis with python,edhec business school,1,mixed,11000,4.7,2019-10-20
data analytics for lean six sigma,university of amsterdam,1,beginner,24000,4.9,2017-02-24
refugees in the 21st century,university of london,1,-,0,4.8,2020-02-14
building containerized applications on aws,amazon web services,0,-,0,4.4,2020-05-15
business transformation with google cloud,google cloud,0,beginner,10000,4.8,2019-04-20
version control with git,atlassian,0,mixed,40000,4.7,2018-02-02
"transmedia storytelling: narrative worlds, emerging technologies, and global audiences",unsw sydney (the university of new south wales),1,mixed,45000,4.7,2016-10-28
excel aplicado a los negocios (nivel avanzado),universidad austral,1,-,0,4.7,2017-11-16
introduction to public speaking,university of washington,1,-,0,4.8,2016-11-08
building conversational experiences with dialogflow,google cloud,0,beginner,22000,4.2,2018-12-26
guitar for beginners,berklee college of music,1,mixed,210000,4.8,2015-08-10
managing project risks and changes,"university of california, irvine",1,mixed,71000,4.8,2015-08-17
l'excellence opérationnelle en pratique,essec business school,1,beginner,8000,4.7,2018-07-06
introduction to cloud computing,ibm,0,beginner,2600,4.9,2020-04-25
sample-based learning methods,alberta machine intelligence institute,1,-,0,4.5,2019-09-03
functional programming principles in scala,école polytechnique fédérale de lausanne,1,intermediate,170000,4.7,2016-05-24
introduction to blockchain technologies,insead,1,beginner,16000,4.7,2019-03-26
introduction to environmental law and policy,the university of north carolina at chapel hill,1,mixed,34000,4.9,2015-08-17
"cameras, exposure, and photography",michigan state university,1,mixed,130000,4.7,2016-02-11
democracia y decisiones públicas. introducción al análisis de políticas públicas,universitat autònoma de barcelona,0,beginner,44000,4.9,2015-10-21
dentistry 101,university of michigan,1,beginner,4500,4.8,2019-03-22
"python functions, files, and dictionaries",university of michigan,1,beginner,26000,4.8,2018-12-24
anticorrupción: introducción a conceptos y perspectiva práctica,universidad nacional autónoma de méxico,1,beginner,11000,4.9,2019-09-03
positive psychology: applications and interventions,university of pennsylvania,1,beginner,23000,4.9,2017-04-13
introduction to embedded systems software and development environments,university of colorado boulder,1,intermediate,41000,4.3,2017-05-31
personal & family financial planning,university of florida,1,-,0,4.6,2016-08-08
a law student's toolkit,yale university,1,mixed,91000,4.7,2015-11-10
introducción a data science: programación estadística con r,universidad nacional autónoma de méxico,1,beginner,140000,4.7,2016-03-02
"cybersecurity roles, processes & operating system security",ibm,0,-,0,4.5,2019-07-19
computational neuroscience,university of washington,1,-,0,4.6,2016-10-03
smart cities – management of smart urban infrastructures,école polytechnique fédérale de lausanne,1,beginner,22000,4.6,2017-02-28
getting started with go,"university of california, irvine",1,intermediate,59000,4.4,2018-09-18
introduction to economic theories,erasmus university rotterdam,1,-,0,4.1,2017-08-16
the power of microeconomics: economic principles in the real world,"university of california, irvine",1,mixed,120000,4.7,2015-08-14
introduction to personal branding,university of virginia,1,beginner,140000,4.5,2015-11-09
love as a force for social justice,stanford university,1,beginner,14000,4.6,2017-10-02
mathematical thinking in computer science,university of california san diego,1,-,0,4.3,2017-09-18
introduction to genetics and evolution,duke university,1,mixed,74000,4.8,2015-11-29
основы программирования на python,national research university higher school of economics,1,beginner,83000,4.2,2017-05-26
improving communication skills,university of pennsylvania,1,-,0,4.7,2017-04-15
"introduction to trading, machine learning & gcp",new york institute of finance,1,intermediate,13000,3.4,2019-12-20
python programming: a concise introduction,wesleyan university,1,-,0,4.6,2016-09-18
"the modern world, part two: global history since 1910",university of virginia,1,beginner,47000,4.9,2015-09-02
understanding plants - part i: what a plant knows,tel aviv university,1,beginner,49000,4.8,2016-09-15
excel fundamentals for data analysis,macquarie university,1,-,0,4.6,2020-06-21
finanzas personales,universidad nacional autónoma de méxico,1,mixed,310000,4.8,2015-08-07
english composition i,duke university,1,beginner,200000,4.5,2016-05-26
career 911: your future job in medicine and healthcare,northwestern university,1,-,0,4.3,2016-08-11
introduction to self-driving cars,university of toronto,1,expert,39000,4.7,2019-02-04
corporate & commercial law i: contracts & employment law,university of illinois at urbana-champaign,1,intermediate,10000,4.8,2018-07-04
blockchain basics,university at buffalo,1,-,0,4.5,2018-06-01
foundations of business strategy,university of virginia,1,beginner,63000,4.8,2015-09-29
introdução à ciência da computação com python parte 1,universidade de são paulo,1,beginner,120000,4.8,2016-11-17
stochastic processes,national research university higher school of economics,1,-,0,4.2,2018-05-02
foundations for big data analysis with sql,cloudera,0,-,0,4.8,2019-06-29
"innovation through design: think, make, break, repeat",the university of sydney,1,beginner,10000,4.7,2018-07-11
perfect tenses and modals,"university of california, irvine",1,intermediate,79000,4.8,2016-06-19
getting started with azure,learnquest,0,-,0,4.2,2020-04-20
moralities of everyday life,yale university,1,-,0,4.8,2016-07-25
revisão sistemática e meta-análise,universidade estadual de campinas,1,intermediate,17000,4.9,2020-04-04
understanding child development: from synapse to society,utrecht university,1,-,0,4.6,2017-08-18
introduction to g suite,google cloud,0,-,0,4.6,2019-07-26
aprendiendo a aprender: poderosas herramientas mentales con las que podrás dominar temas difíciles (learning how to learn),university of california san diego,1,beginner,180000,4.9,2016-02-05
building batch data pipelines on gcp,google cloud,0,intermediate,7300,4.4,2020-01-14
financial planning for young adults,university of illinois at urbana-champaign,1,-,0,4.3,2017-02-08
quantitative methods,university of amsterdam,1,mixed,69000,4.8,2015-09-02
"introduction to self-determination theory: an approach to motivation, development and wellness",university of rochester,1,-,0,4.9,2019-03-13
the technology of music production,berklee college of music,1,beginner,28000,4.9,2016-07-12
code yourself! an introduction to programming,the university of edinburgh,1,beginner,120000,4.8,2015-08-13
success,university of pennsylvania,1,beginner,38000,4.9,2016-09-11
chemicals and health,johns hopkins university,1,beginner,23000,4.9,2016-07-09
improving your statistical inferences,eindhoven university of technology,1,-,0,4.9,2016-10-17
fundamentals of finance,university of pennsylvania,1,-,0,3.9,2020-05-25
how google does machine learning,google cloud,0,-,0,4.5,2018-03-03
object-oriented design,university of alberta,1,intermediate,33000,4.6,2017-09-22
introduction to intellectual property,university of pennsylvania,1,beginner,6000,4.8,2019-07-02
cost and economics in pricing strategy,bcg,0,-,0,4.8,2017-04-24
write a feature length screenplay for film or television,michigan state university,1,beginner,12000,4.7,2020-04-15
marketing gerencial,universidad de chile,1,intermediate,49000,4.7,2016-10-10
corporate finance essentials,iese business school,1,mixed,56000,4.9,2016-02-08
information security: context and introduction,"royal holloway, university of london",1,beginner,32000,4.7,2017-02-15
"anatomy of the chest, abdomen, and pelvis",yale university,1,intermediate,36000,4.8,2018-02-28
introduction to css3,university of michigan,1,mixed,84000,4.8,2015-10-19
applied data science capstone,ibm,0,intermediate,42000,4.5,2018-09-07
introduction aux droits de l’homme,university of geneva,1,mixed,46000,4.9,2016-03-24
"programming languages, part a",university of washington,1,-,0,4.9,2016-08-09
big history: connecting knowledge,macquarie university,1,-,0,4.8,2015-10-13
leadership in 21st century organizations,copenhagen business school,1,mixed,34000,4.8,2015-10-03
software processes and agile practices,university of alberta,1,mixed,60000,4.7,2015-10-28
devops culture and mindset,"university of california, davis",1,-,0,4.8,2018-12-31
introduction to statistics & data analysis in public health,imperial college london,1,beginner,12000,4.7,2019-02-28
discrete optimization,the university of melbourne,1,intermediate,40000,4.8,2016-10-16
основы разработки на c++: белый пояс,moscow institute of physics and technology,1,-,0,4.8,2017-06-06
covid-19 contact tracing for nursing professionals,university of houston,1,-,0,3.9,2020-08-23
high stakes leadership: leading in times of crisis,university of michigan,1,-,0,4.8,2020-06-20
essential epidemiologic tools for public health practice,johns hopkins university,1,beginner,14000,4.7,2020-01-13
epigenetic control of gene expression,the university of melbourne,1,mixed,35000,1.0,2016-03-22
"recruiting, hiring, and onboarding employees",university of minnesota,1,mixed,35000,3.8,2016-03-30
aws fundamentals: addressing security risk,amazon web services,0,beginner,11000,4.2,2019-08-08
ancient philosophy: plato & his predecessors,university of pennsylvania,1,-,0,4.1,2016-03-08
becoming a changemaker: introduction to social innovation,university of cape town,1,beginner,61000,4.3,2016-09-26
spanish for successful communication in healthcare settings,rice university,1,-,0,4.0,2019-04-23
leading transformations: manage change,macquarie university,1,-,0,4.3,2019-10-30
introduction to systems engineering,unsw sydney (the university of new south wales),1,mixed,33000,4.8,2016-04-26
bayesian statistics: techniques and models,"university of california, santa cruz",1,intermediate,29000,4.8,2017-06-07
human rights for open societies,utrecht university,1,-,0,4.8,2016-12-13
introduction to computers and office productivity software,the hong kong university of science and technology,1,-,0,4.6,2020-07-20
the introduction to quantum computing,saint petersburg state university,1,-,0,3.3,2019-03-05
intercultural management,escp business school,1,beginner,6500,4.3,2017-05-23
get interactive: practical teaching with technology,university of london,1,-,0,4.8,2017-05-19
global financial markets and instruments,rice university,1,mixed,37000,4.3,2016-10-20
write your first novel,michigan state university,1,beginner,18000,3.9,2020-03-02
développement psychologique de l'enfant,university of geneva,1,-,0,5.0,2019-10-05
songwriting: writing the lyrics,berklee college of music,1,beginner,68000,4.7,2016-08-09
"applied plotting, charting & data representation in python",university of michigan,1,intermediate,97000,4.4,2017-03-17
systems thinking in public health,johns hopkins university,1,mixed,33000,4.4,2016-03-07
excel skills for business: advanced,macquarie university,1,intermediate,39000,4.7,2018-01-04
introduction to neuroeconomics: how the brain makes decisions,national research university higher school of economics,1,-,0,4.6,2015-10-21
community organizing for social justice,university of michigan,1,-,0,4.2,2020-04-25
build a modern computer from first principles: nand to tetris part ii (project-centered course),hebrew university of jerusalem,1,-,0,5.0,2017-02-02
the global financial crisis,yale university,1,mixed,84000,4.8,2015-11-13
agile и scrum в работе над проектами и продуктами,e-learning development fund,0,-,0,4.7,2019-02-19
renewable energy and green building entrepreneurship,duke university,1,beginner,24000,4.8,2017-07-04
the cycle: management of successful arts and cultural organizations,"university of maryland, college park",1,beginner,11000,4.9,2017-01-08
privacy law and data protection,university of pennsylvania,1,-,0,4.8,2019-04-18
building modern python applications on aws,amazon web services,0,-,0,5.0,2020-10-01
digital business models,lund university,1,beginner,21000,4.6,2017-01-15
"everyday excel, part 2",university of colorado boulder,1,-,0,5.0,2020-05-12
reliable google cloud infrastructure: design and process,google cloud,0,-,0,4.7,2017-12-17
introduction to computer programming,university of london,1,-,0,3.9,2018-10-04
"big data essentials: hdfs, mapreduce and spark rdd",yandex,0,-,0,3.4,2017-10-18
dermatology: trip to skin,novosibirsk state university,1,beginner,8200,4.0,2019-05-13
sustainable tourism – promoting environmental public health,university of copenhagen,1,beginner,9400,4.6,2018-02-17
population health during a pandemic: contact tracing and beyond,university of houston,1,-,0,4.8,2020-06-29
social impact strategy: tools for entrepreneurs and innovators,university of pennsylvania,1,-,0,4.9,2016-10-09
c for everyone: programming fundamentals,"university of california, santa cruz",1,beginner,31000,4.6,2019-11-10
introduction to structured query language (sql),university of michigan,1,-,0,4.8,2017-10-25
social and economic networks:  models and analysis,stanford university,1,expert,42000,1.0,2018-10-27
the truth about cats and dogs,the university of edinburgh,1,mixed,33000,4.8,2017-04-23
sports and society,duke university,1,mixed,16000,4.9,2016-01-21
fundamentals of scalable data science,ibm,0,-,0,4.0,2017-02-10
effective compliance programs,university of pennsylvania,1,mixed,3400,4.9,2019-04-13
transformation of the global food system,university of copenhagen,1,-,0,4.8,2020-05-18
web application technologies and django,university of michigan,1,-,0,4.8,2020-07-21
curanderismo: traditional healing using plants,university of new mexico,1,beginner,5500,1.0,2019-10-02
applied machine learning in python,university of michigan,1,intermediate,150000,4.5,2017-06-01
troubleshooting and debugging techniques,google,0,-,0,4.3,2020-01-21
introduction to c# programming and unity,university of colorado system,1,-,0,4.7,2018-01-26
"corrección, estilo y  variaciones de la lengua española",universitat autònoma de barcelona,0,beginner,75000,4.7,2016-01-19
les fondamentaux de la négociation,essec business school,1,beginner,10000,4.9,2018-07-11
the science of success: what researchers know that you should know,university of michigan,1,beginner,59000,4.8,2017-04-13
finance for non-financial managers,emory university,1,intermediate,12000,4.1,2017-02-10
getting started with music theory,michigan state university,1,beginner,59000,4.1,2017-02-03
the horse course: introduction to basic care and management,university of florida,1,mixed,29000,5.0,2015-12-23
verb tenses and passives,"university of california, irvine",1,-,0,4.7,2016-10-06
gestión de organizaciones efectivas,pontificia universidad católica de chile,1,mixed,47000,4.8,2015-10-07
introduction to big data,university of california san diego,1,mixed,160000,4.6,2016-06-15
rédaction de contrats,university of geneva,1,-,0,4.8,2016-04-09
philosophy and the sciences: introduction to the philosophy of cognitive sciences,the university of edinburgh,1,-,0,4.7,2016-09-19
schizophrenia,wesleyan university,1,-,0,4.7,2017-10-20
ecology: ecosystem dynamics and conservation,howard hughes medical institute,1,-,0,4.8,2018-04-17
introduction to game development,michigan state university,1,mixed,79000,4.8,2015-09-07
practical time series analysis,the state university of new york,1,intermediate,39000,4.5,2018-01-16
vlsi cad part i: logic,university of illinois at urbana-champaign,1,-,0,4.7,2017-07-16
getting started with google kubernetes engine,google cloud,0,intermediate,75000,4.2,2017-11-27
exploring ​and ​preparing ​your ​data with bigquery,google cloud,0,-,0,4.5,2017-11-09
six sigma and the organization (advanced),university system of georgia,1,intermediate,15000,4.7,2017-09-11
social work practice: advocating social justice and change,university of michigan,1,-,0,4.8,2020-09-10
introduction to machine learning,duke university,1,-,0,4.7,2018-09-19
entrepreneurship 2: launching your start-up,university of pennsylvania,1,mixed,38000,4.8,2016-03-17
nanotechnology: a maker’s course,duke university,1,mixed,21000,4.8,2017-10-13
creative problem solving,university of minnesota,1,mixed,140000,4.5,2015-10-11
"sleep: neurobiology, medicine, and society",university of michigan,1,beginner,20000,4.8,2017-12-10
covid-19: what you need to know (cme eligible),osmosis,0,beginner,32000,4.8,2020-03-27
classical sociological theory,university of amsterdam,1,mixed,51000,4.9,2015-08-17
electric industry operations and markets,duke university,1,beginner,12000,4.8,2017-07-14
preparing for the google cloud professional cloud architect exam,google cloud,0,-,0,4.5,2019-01-10
effective business presentations with powerpoint,pwc,0,-,0,4.6,2017-03-29
more introduction to financial accounting,university of pennsylvania,1,mixed,40000,4.9,2016-02-13
cryptocurrency and blockchain: an introduction to digital currencies,university of pennsylvania,1,-,0,4.5,2019-06-16
think again i: how to understand arguments,duke university,1,beginner,200000,4.6,2016-08-08
developing your musicianship,berklee college of music,1,mixed,41000,4.9,2016-05-30
developing your musicianship,berklee college of music,1,beginner,54000,4.9,2016-05-30
introduction to operations management,university of pennsylvania,1,mixed,87000,4.3,2015-12-02
the oral cavity: portal to health and disease,university of pennsylvania,1,intermediate,9400,4.9,2017-09-27
preparing for the google cloud associate cloud engineer exam,google cloud,0,beginner,22000,4.6,2019-06-19
fundamental neuroscience for neuroimaging,johns hopkins university,1,beginner,30000,4.6,2017-11-29
european business law: understanding the fundamentals,lund university,1,-,0,4.7,2016-01-16
teach english now! teaching language online,arizona state university,1,intermediate,8500,4.6,2019-05-30
front-end web development with react,the hong kong university of science and technology,1,intermediate,45000,4.6,2018-06-14
music business foundations,berklee college of music,1,mixed,34000,4.9,2015-09-17
introduction to business analytics: communicating with data,university of illinois at urbana-champaign,1,intermediate,14000,4.6,2018-12-11
machine learning foundations: a case study approach,university of washington,1,mixed,240000,4.5,2015-09-23
accounting analytics,university of pennsylvania,1,mixed,80000,4.4,2016-01-05
strategic business management - microeconomics,"university of california, irvine",1,beginner,9500,4.8,2018-01-24
"epidemics, pandemics and outbreaks",university of pittsburgh,1,mixed,23000,4.7,2015-09-26
roman architecture,yale university,1,beginner,30000,4.8,2017-04-12
research data management and sharing,the university of edinburgh,1,mixed,16000,4.7,2016-03-01
introduction to genomic technologies,johns hopkins university,1,mixed,42000,4.5,2016-01-27
strategic management,copenhagen business school,1,mixed,58000,4.8,2015-09-04
cybersecurity compliance framework & system administration,ibm,0,-,0,4.5,2019-11-07
legal tech & startups,ie business school,1,intermediate,7200,4.0,2017-09-22
introduction to chemistry:  reactions and ratios,duke university,1,beginner,46000,4.8,2016-08-29
the science of stem cells,american museum of natural history,0,intermediate,12000,4.7,2018-05-07
the business of product management i,advancing women in product,0,-,0,4.3,2020-09-15
positive psychology: resilience skills,university of pennsylvania,1,beginner,40000,4.9,2017-04-23
ai for medical prognosis,deeplearning.ai,0,intermediate,4000,4.7,2020-04-19
antibiotic stewardship,stanford university,1,expert,11000,4.2,2018-09-15
ux / ui: fundamentos para o design de interface,universidade de são paulo,1,-,0,4.3,2018-04-04
emt foundations,university of colorado system,1,beginner,7100,4.8,2019-01-24
industrial iot on google cloud platform,google cloud,0,beginner,34000,4.5,2019-02-03
"penetration testing, incident response and forensics",ibm,0,-,0,4.5,2020-06-13
database management essentials,university of colorado system,1,-,0,4.5,2015-09-23
advertising and society,duke university,1,mixed,14000,4.8,2016-11-04
everyday chinese medicine,the chinese university of hong kong,1,-,0,4.7,2017-09-26
fundamentals of machine learning for healthcare,stanford university,1,-,0,4.8,2020-09-09
new approaches to countering terror: countering violent extremism,"university of maryland, college park",1,beginner,12000,4.8,2020-01-21
magic in the middle ages,universitat de barcelona,0,beginner,78000,4.6,2016-08-07
challenging forensic science: how science should speak to court,university of lausanne,1,beginner,31000,4.8,2019-01-02
exploring renewable energy schemes,university of pennsylvania,1,-,0,4.8,2020-01-26
paleontology: theropod dinosaurs and the origin of birds,university of alberta,1,-,0,4.9,2016-01-30
corporate strategy,ucl school of management,1,beginner,7800,4.9,2017-12-29
getting started with essay writing,"university of california, irvine",1,-,0,4.7,2015-10-20
actualización en el manejo del paciente con diabetes mellitus tipo 2,universidad nacional autónoma de méxico,1,mixed,23000,4.9,2019-02-05
mastering final cut pro,learnquest,0,beginner,8400,4.5,2020-02-25
removing barriers to change,university of pennsylvania,1,-,0,5.0,2020-07-26
tricky american english pronunciation,"university of california, irvine",1,beginner,110000,4.7,2017-04-01
managing an agile team,university of virginia,1,-,0,4.7,2016-05-01
international law in action: a guide to the international courts and tribunals in the hague,universiteit leiden,0,mixed,36000,4.8,2016-01-20
"competencias laborales: perfiles, evaluación y capacitación.",universidad de chile,1,-,0,4.5,2017-05-04
getting started with tensorflow 2,imperial college london,1,-,0,4.9,2020-04-22
geopolitics of europe,sciences po,1,mixed,19000,3.8,2016-11-06
osteoarchaeology: the truth in our bones,universiteit leiden,0,beginner,22000,4.7,2016-10-08
mathematics for machine learning: pca,imperial college london,1,intermediate,33000,3.5,2018-03-14
object oriented programming in java,university of california san diego,1,-,0,4.7,2015-09-15
embedded software and hardware architecture,university of colorado boulder,1,-,0,4.3,2018-11-18
memoir and personal essay: managing your relationship with the reader,wesleyan university,1,-,0,4.4,2019-01-09
математика и python для анализа данных,moscow institute of physics and technology,1,-,0,4.6,2016-02-09
hacia una práctica constructivista en el aula,pontificia universidad católica de chile,1,mixed,62000,4.9,2015-08-10
hypothesis-driven development,university of virginia,1,-,0,4.6,2016-07-02
accounting data analytics with python,university of illinois at urbana-champaign,1,-,0,3.5,2020-01-11
introduction to molecular spectroscopy,university of manchester,1,-,0,4.6,2017-06-14
managing as a coach,"university of california, davis",1,-,0,4.8,2016-02-12
