name,institution,is_university,level,students,rating,first_review_on
moral foundations of politics,yale university,1,mixed,100000,4.9,2015-08-14
étudier en france: french intermediate course b1-b2,école polytechnique,1,intermediate,190000,4.8,2016-12-09
managing the company of the future,london business school,1,-,0,4.8,2016-01-25
finance for non-finance professionals,rice university,1,beginner,69000,4.8,2016-10-14
site reliability engineering: measuring and managing reliability,google cloud,0,expert,16000,4.3,2019-02-15
autism spectrum disorder,"university of california, davis",1,mixed,56000,4.7,2015-12-18
data science methodology,ibm,0,beginner,89000,4.3,2018-04-20
introduction to financial accounting,university of pennsylvania,1,mixed,200000,4.8,2015-11-04
marketing in a digital world,university of illinois at urbana-champaign,1,beginner,310000,4.7,2015-08-07
wind energy,technical university of denmark (dtu),1,-,0,4.7,2016-03-03
principles of sustainable finance,erasmus university rotterdam,1,-,0,4.9,2020-05-18
financial engineering and risk management part i,columbia university,1,mixed,100000,4.4,2015-08-08
introduction to philosophy,the university of edinburgh,1,mixed,370000,4.7,2015-08-07
business metrics for data-driven companies,duke university,1,-,0,4.6,2015-09-06
python basics,university of michigan,1,beginner,110000,4.8,2018-12-14
introduction to sustainability,university of illinois at urbana-champaign,1,mixed,69000,4.8,2015-08-29
positive psychiatry and mental health,the university of sydney,1,mixed,72000,4.9,2017-08-03
cryptography i,stanford university,1,-,0,4.8,2016-02-16
learning to teach online,unsw sydney (the university of new south wales),1,beginner,68000,4.8,2016-10-13
it security: defense against the digital dark arts,google,0,beginner,62000,4.8,2018-01-28
entreprise et changement climatique,essec business school,1,-,0,5.0,2020-09-30
an introduction to consumer neuroscience & neuromarketing,copenhagen business school,1,beginner,69000,4.7,2016-10-05
gamification,university of pennsylvania,1,mixed,110000,4.8,2015-11-09
contabilidad para no contadores,universidad nacional autónoma de méxico,1,beginner,220000,4.8,2016-11-24
using python to interact with the operating system,google,0,beginner,19000,4.6,2020-01-18
object-oriented data structures in c++,university of illinois at urbana-champaign,1,intermediate,21000,4.6,2019-03-05
google cloud platform big data and machine learning fundamentals,google cloud,0,intermediate,120000,4.6,2017-03-10
databases and sql for data science,ibm,0,beginner,110000,4.4,2018-06-18
natural language processing in tensorflow,deeplearning.ai,0,intermediate,40000,4.2,2019-06-20
"advanced valuation and strategy - m&a, private equity, and venture capital",erasmus university rotterdam,1,expert,29000,4.6,2018-09-20
natural language processing with probabilistic models,deeplearning.ai,0,-,0,4.6,2020-06-27
vital signs: understanding what the body is telling us,university of pennsylvania,1,mixed,190000,4.8,2016-03-02
understanding research methods,university of london,1,-,0,4.6,2015-08-12
ibm customer engagement specialist professional certificate,ibm,0,beginner,3300,4.9,2018-10-27
introduction to calculus,the university of sydney,1,intermediate,53000,4.9,2018-12-28
camino a la excelencia en gestión de proyectos,pontificia universidad católica de chile,1,beginner,340000,4.6,2016-10-02
introduction to html5,university of michigan,1,mixed,220000,4.0,2015-09-06
wine tasting: sensory techniques for wine analysis,"university of california, davis",1,beginner,32000,4.3,2017-01-18
excel skills for business: intermediate i,macquarie university,1,intermediate,76000,4.9,2017-11-09
"programming foundations with javascript, html and css",duke university,1,beginner,250000,4.5,2015-09-17
build a modern computer from first principles: from nand to tetris (project-centered course),hebrew university of jerusalem,1,mixed,95000,4.9,2016-02-19
food & beverage management,università bocconi,1,mixed,57000,4.8,2015-09-14
data analysis with python,ibm,0,beginner,110000,4.5,2018-05-11
project planning,"university of california, irvine",1,-,0,4.3,2017-10-19
agile meets design thinking,university of virginia,1,beginner,69000,4.8,2016-02-21
aws fundamentals: going cloud-native,amazon web services,0,beginner,110000,4.7,2018-11-18
construction project management,columbia university,1,beginner,43000,4.8,2016-09-29
introduction to mathematical thinking,stanford university,1,intermediate,270000,4.8,2017-01-11
everyday parenting: the abcs of child rearing,yale university,1,beginner,86000,4.9,2017-08-17
introduction to healthcare,stanford university,1,-,0,4.0,2020-09-09
machine learning with python,ibm,0,intermediate,120000,4.5,2018-08-21
terrorism and counterterrorism: comparing theory and practice,universiteit leiden,0,beginner,90000,4.7,2015-08-07
data management for clinical research,vanderbilt university,1,beginner,42000,4.8,2016-07-08
