name,is_paid,price,students,num_lectures,level,content_duration,total_effort,published_on,subject,is_online,rating
a beginner's guide to quantopian futures api,True,20,936,11,intermediate,1.5,4.5,2017-04-11,business finance,0,
how to buy cheap options - options trading pricing model,True,200,658,19,mixed,1.0,3.0,2017-06-02,business finance,1,4.9
excel crash course: master excel for financial analysis,True,105,8121,40,mixed,3.5,10.5,2016-10-18,business finance,1,4.6
"comprehensive guide to financial markets, investing &trading",True,60,4187,79,beginner,9.0,27.0,2016-02-29,business finance,1,4.4
stock trading ninja: complete system for trading success,True,155,9445,38,mixed,4.5,13.5,2014-02-19,business finance,0,
hedge and mutual fund careers: the complete guide,True,200,3255,102,mixed,8.5,25.5,2016-06-20,business finance,1,4.2
algorithmic trading in forex: create your first forex robot!,True,185,7941,40,mixed,6.5,19.5,2014-08-11,business finance,1,4.5
the power modeling bootcamp: advanced excel in 10 days,True,150,1680,76,mixed,5.5,16.5,2016-11-26,business finance,1,4.5
options trading basics (3-course bundle),True,180,10100,45,beginner,11.0,33.0,2013-02-25,business finance,1,4.5
how to win 97% of your options trades,True,125,5050,26,mixed,1.5,4.5,2015-02-10,business finance,1,4.2
how i make consistent returns trading options,True,200,2310,26,mixed,3.5,10.5,2016-10-05,business finance,1,4.1
"forex strategies: kelly criterion, larry williams and more!",True,185,5528,32,mixed,3.0,9.0,2015-02-19,business finance,1,4.7
"elite trend trader: learn to trade stocks, options & forex",True,125,6451,28,mixed,5.0,15.0,2014-04-16,business finance,0,
options trading introduction: day trade stock options,True,95,12394,30,beginner,2.5,7.5,2015-02-20,business finance,1,3.8
the almost perfect options trading strategy system - unique,True,200,1793,15,mixed,1.0,3.0,2017-03-03,business finance,1,4.3
forex trading -  learn to trade forex like the banks,True,20,3223,23,mixed,1.0,3.0,2016-03-30,business finance,1,4.1
learn to trade for profit:trading with japanese candlesticks,True,60,16385,45,beginner,3.0,9.0,2014-09-02,business finance,1,4.3
the most powerful options spread trading front ratio spread,True,200,1487,18,mixed,2.0,6.0,2017-03-08,business finance,1,4.5
what finance job is for you? explanation of 14 finance roles,True,200,2951,60,mixed,4.0,12.0,2016-05-04,business finance,1,5.0
the blueprint for successful stock trading,True,120,2697,15,mixed,1.0,3.0,2015-08-13,business finance,1,4.7
trading for beginners - intermediate level,True,150,3979,39,beginner,5.0,15.0,2016-11-09,business finance,1,3.8
start trading stocks using technical analysis!,True,25,3190,45,mixed,4.0,12.0,2016-02-03,business finance,1,4.5
learn how to set up an incubator hedge fund - step-by-step,True,200,1406,54,expert,1.5,4.5,2017-01-18,business finance,1,4.5
vps for forex trading - protect your forex robots,True,160,4252,24,mixed,2.0,6.0,2014-09-19,business finance,1,4.9
introduction to accounting: the language of business,True,20,11958,134,beginner,11.5,34.5,2014-10-02,business finance,1,4.7
basic excel for basic bookkeeping and accounting,True,95,7743,33,beginner,1.5,4.5,2015-09-10,business finance,1,4.3
"using 'the greeks to understand options""",True,50,2134,5,mixed,1.0,3.0,2016-07-13,business finance,1,4.0
trading options for consistent returns: calendar spreads,True,200,1214,20,mixed,1.5,4.5,2016-10-07,business finance,1,4.3
how to create your personal budget,True,20,3870,10,mixed,1.0,3.0,2016-03-21,business finance,1,
the complete value investing course: a proven approach,True,200,2146,49,mixed,4.5,13.5,2015-06-16,business finance,1,4.4
forex trading with price action,True,195,484,19,beginner,1.0,3.0,2017-03-14,business finance,1,4.4
emini es futures - advanced non directional options trading,True,200,1057,14,mixed,1.5,4.5,2017-01-11,business finance,1,3.9
forex trading - advanced fundamental analysis,True,20,1754,49,intermediate,2.5,7.5,2016-06-30,business finance,1,4.2
how to invest with tiny capital in stocks ?,True,20,1239,6,beginner,0.7,2.1,2017-05-23,business finance,1,3.5
learn how to successfully trade stocks: in 5 simple steps,True,95,2493,108,mixed,9.5,28.5,2015-01-31,business finance,1,4.4
forex metatrader 4: master mt4 like a pro forex trader,True,150,2602,57,beginner,5.0,15.0,2015-10-28,business finance,1,4.6
intermediate options trading concepts for stocks and options,True,40,2000,9,mixed,1.0,3.0,2015-04-13,business finance,1,4.2
options trading 101: the basics,False,0,1514,11,beginner,0.55,1.65,2017-03-23,business finance,1,4.9
practical accounts app overview,True,20,1361,14,intermediate,3.0,9.0,2016-10-04,business finance,1,
bitcoin profits for beginners,True,100,61,30,beginner,1.5,4.5,2017-06-09,business finance,0,
trend traders club: how to find and trade fast moving trends,True,75,1513,60,mixed,5.5,16.5,2015-08-04,business finance,0,
financial statements basics,True,20,1374,9,beginner,2.0,6.0,2016-01-14,business finance,1,4.0
high performance stock trading using key options techniques,True,40,2103,6,mixed,1.5,4.5,2015-04-12,business finance,1,4.0
introduction to financial statement analysis,True,20,1480,25,beginner,1.5,4.5,2016-03-21,business finance,0,
basics of economics (college level),True,25,2516,20,mixed,1.5,4.5,2015-01-08,business finance,1,4.2
stock market investing for beginners,False,0,50855,15,beginner,1.5,4.5,2013-12-25,business finance,1,4.4
accounting for beginners : learn basics in under 1 hour,True,50,1971,20,beginner,1.5,4.5,2015-12-03,business finance,1,3.2
straddle options trading - profit in any market direction,True,200,837,19,mixed,1.0,3.0,2016-10-03,business finance,1,4.1
fundamentals of forex trading,False,0,17160,23,mixed,1.0,3.0,2014-08-29,business finance,0,
"binary options: trading strategies, 90% accuracy and signals",True,195,1723,24,beginner,1.0,3.0,2015-12-14,business finance,1,3.8
website investing 101 - buying & selling online businesses,False,0,6811,51,mixed,2.0,6.0,2016-08-05,business finance,0,
practical accounts & bookkeeping automated overview,True,20,2060,30,mixed,4.5,13.5,2016-01-28,business finance,1,
live account - etf trading system - hacking the stock market,True,150,2318,16,mixed,5.0,15.0,2014-12-31,business finance,1,4.4
stock market leverage: how to start trading options wisely,True,95,2153,13,beginner,1.5,4.5,2015-07-27,business finance,1,3.7
stock market foundations,False,0,19339,9,beginner,2.0,6.0,2014-03-31,business finance,1,4.4
crash course on working capital management,True,20,3177,8,mixed,1.0,3.0,2015-04-16,business finance,1,
advanced accounting a complete study for ca / cma / cfa / cs,True,150,1535,462,mixed,62.0,186.0,2016-06-03,business finance,1,4.5
61% profit in 1 month - crush your forex trading paradigm,True,20,1027,25,mixed,1.5,4.5,2016-07-18,business finance,1,4.3
how to create a routine trading,True,25,307,5,mixed,0.1333333333333333,0.3999999999999999,2017-05-01,business finance,1,
"forex trading secrets |mt4 robot (ea) inside, no coding",True,150,2096,29,mixed,0.6833333333333333,2.05,2015-08-24,business finance,0,
forex sos course: trading tweaks and working forex strategy,True,50,1315,59,beginner,2.5,7.5,2015-11-18,business finance,1,4.2
introduction to financial modeling,False,0,29167,8,intermediate,1.5,4.5,2014-05-27,business finance,1,4.3
quantitative aptitude for banking & competitive examinations,True,50,1056,42,mixed,3.0,9.0,2017-02-09,business finance,0,
option spreads and credit spreads bundle,True,180,2212,24,expert,4.5,13.5,2013-03-05,business finance,1,4.2
b com accountancy i (paper eco 02 ignou),True,50,2946,284,mixed,31.5,94.5,2016-05-05,business finance,1,
forex trading - learn in a quick + profitable way + support,True,100,271,47,mixed,3.5,10.5,2017-02-20,business finance,1,4.1
auditing basics (professional course level),True,25,3771,35,mixed,2.5,7.5,2015-02-13,business finance,1,4.1
stock market investing encyclopedia: how to invest in stocks,True,200,3143,39,intermediate,3.0,9.0,2015-11-10,business finance,1,4.8
learn the basics of preparing accounting statements,True,20,1951,20,intermediate,0.55,1.65,2015-10-13,business finance,1,4.6
elliott wave -forex trading with the elliott wave theory,True,90,4022,14,expert,1.0,3.0,2016-12-15,business finance,0,
corporate finance - a brief introduction,False,0,11724,17,beginner,1.5,4.5,2016-03-04,business finance,1,4.2
excel functions to analyze and visualize data,True,20,2283,16,intermediate,2.0,6.0,2015-04-20,business finance,1,4.6
building financial statements in excel,True,35,1181,18,beginner,1.0,3.0,2017-06-29,business finance,1,4.0
transfer pricing a complete analysis,True,50,1852,14,mixed,2.5,7.5,2016-12-28,business finance,0,
accounting: get hired without work experience,True,100,4661,20,mixed,1.0,3.0,2014-09-01,business finance,1,3.6
forex trading for beginners - basics,True,50,989,11,mixed,1.0,3.0,2017-04-24,business finance,1,
basic bookkeeping hacks,True,20,5841,28,mixed,1.5,4.5,2016-06-14,business finance,1,3.9
complete trading plan course for stocks & forex (10 hours),True,200,1087,61,mixed,9.5,28.5,2017-03-23,business finance,0,
"forex trading with fixed 'risk through options trading""",True,200,611,26,beginner,1.0,3.0,2017-06-07,business finance,0,
"intro to investment banking, m&a, ipo, modeling + free book",True,60,1922,15,mixed,20.0,60.0,2016-01-21,business finance,1,4.4
how to pick the right penny stocks to invest in 2017,True,150,9015,23,mixed,2.5,7.5,2014-07-01,business finance,1,3.7
top 10 trading ideas in the equities market,True,20,661,12,mixed,1.0,3.0,2017-05-02,business finance,0,
intro to financial modeling,True,105,1077,55,beginner,6.0,18.0,2016-08-19,business finance,1,4.4
shark accounting - building a business by the numbers!,True,20,6050,17,beginner,1.5,4.5,2014-05-18,business finance,1,4.6
forex trading make your first trade today!,True,150,3523,45,mixed,4.0,12.0,2016-01-10,business finance,1,4.7
accounting in 60 minutes - a brief introduction,False,0,56659,16,beginner,1.5,4.5,2013-04-07,business finance,1,4.5
sap fico for beginners - a guide to sap financial accounts,True,100,1444,59,beginner,5.0,15.0,2016-07-25,business finance,1,4.1
learn how to double your forex trading account in one trade,True,60,2900,36,intermediate,2.5,7.5,2014-10-19,business finance,1,4.0
"accounting superpowers: learn accounts, understand business!",True,200,1437,34,beginner,2.5,7.5,2016-08-08,business finance,1,4.6
python algo trading: fx trading with oanda,True,200,453,33,intermediate,3.0,9.0,2017-03-14,business finance,0,
save on your taxes,True,20,2437,23,mixed,1.5,4.5,2016-11-16,business finance,1,3.6
financial model basics: build a model from start to finish,True,30,5057,13,beginner,1.0,3.0,2015-02-06,business finance,1,3.8
option trading for rookies: the covered call option strategy,True,95,6092,29,beginner,1.5,4.5,2016-11-03,business finance,1,
eft for stock options trading success & making better trades,True,95,4530,31,mixed,1.5,4.5,2015-08-06,business finance,1,4.2
learn to trade the stock market without blowing your profits,True,60,6967,34,mixed,1.0,3.0,2017-05-02,business finance,1,
get a credit repair publication on amazon and live life..,True,20,727,25,beginner,3.0,9.0,2017-04-26,business finance,1,3.8
fundamentals of accounting,True,20,1560,25,mixed,3.0,9.0,2016-08-31,business finance,1,4.5
"rsi, options trading & technical analysis (3 course bundle)",True,200,1047,46,mixed,3.5,10.5,2017-01-26,business finance,0,
basics of mutual funds for ca / cma / cs / cfa exams,True,125,1045,17,intermediate,1.0,3.0,2017-04-24,business finance,1,
accounting 101: how to read an accounting balance sheet,True,200,3050,22,beginner,2.0,6.0,2015-01-27,business finance,0,
stock options day trading mindset for success,True,200,2988,43,mixed,4.5,13.5,2015-09-29,business finance,1,3.8
introduction to bookkeeping and accounting,True,35,2623,20,beginner,1.0,3.0,2015-08-21,business finance,1,4.6
learn to trade the news,True,200,1924,544,mixed,46.5,139.5,2015-07-16,business finance,1,4.3
"value investing, taught by six superinvestors",True,200,3804,66,mixed,5.0,15.0,2015-06-19,business finance,1,3.4
trading for everyone - the independent investor course i,True,120,4133,36,beginner,4.0,12.0,2015-10-08,business finance,1,3.7
