name,is_paid,price,students,num_lectures,level,content_duration,total_effort,published_on,subject,is_online,rating
weekly options and study of options expiration dynamics,True,60,779,6,expert,1.0,3.0,2013-03-08,business finance,1,4.3
cost accounting basics (professional course level),True,20,1777,23,beginner,1.0,3.0,2014-12-17,business finance,1,
learn to reliably invest in the stock market,True,50,841,19,mixed,0.6166666666666667,1.85,2016-07-29,business finance,1,
hedge fund trading systems part two - stocks & etfs,True,200,56,23,expert,2.5,7.5,2017-05-16,business finance,1,
stock market option trading: how sell options for premium,True,200,1909,19,intermediate,2.0,6.0,2015-02-08,business finance,1,3.9
straddles and strangles - volatility moves in any direction,True,60,775,11,expert,1.5,4.5,2013-03-12,business finance,1,3.6
debt collection management: get paid on time every time!,True,20,1255,38,mixed,3.0,9.0,2015-01-27,business finance,0,
learn about it,True,20,1193,27,mixed,1.5,4.5,2014-06-05,business finance,0,
trading: basics of trading for beginners,True,140,1309,20,beginner,1.5,4.5,2015-11-11,business finance,1,3.5
options spreads bundle-  the heart of options trading,True,120,623,8,intermediate,2.5,7.5,2013-02-19,business finance,1,4.5
trade the news in forex: ea robot included,True,200,276,11,mixed,0.5666666666666667,1.7,2016-08-30,business finance,0,
investment portfolio analysis with r,True,50,314,37,mixed,6.5,19.5,2016-06-27,business finance,0,
basics of economics for beginners a to z - a complete course,True,170,1942,24,beginner,1.5,4.5,2015-08-24,business finance,0,
seeing the big picture: understanding financial statements,True,50,885,14,mixed,0.7166666666666667,2.15,2015-01-07,business finance,1,4.6
financial modeling for professionals in 1 day!,True,200,226,29,intermediate,4.5,13.5,2016-12-05,business finance,1,3.8
create your own automated stock trading robot in excel!,True,150,461,44,mixed,5.0,15.0,2015-12-09,business finance,1,3.4
forex: from zero to hero,True,150,152,26,mixed,3.0,9.0,2017-02-07,business finance,0,
learn call options and put options - introduction to options,True,60,1017,20,beginner,3.0,9.0,2013-02-15,business finance,1,4.4
1. principles of simple interest,True,20,1074,13,mixed,1.0,3.0,2014-01-13,business finance,1,4.6
double entry bookkeeping,True,50,440,10,beginner,1.0,3.0,2016-06-15,business finance,1,4.1
mql5 tutorial bootcamp,True,20,978,13,beginner,0.5333333333333333,1.6,2016-01-29,business finance,0,
succeed at options even if you don't know where to start,True,200,36,12,mixed,1.5,4.5,2017-04-17,business finance,1,4.2
"buying, selling, and storing precious metal",True,20,74,14,mixed,1.0,3.0,2013-02-27,business finance,0,
accounting skills for managers,True,20,78,10,beginner,1.5,4.5,2012-06-27,business finance,0,
analysis and evaluation of economic feasibility of projects,True,100,10,8,intermediate,1.0,3.0,2016-12-19,business finance,1,2.7
technical analysis: understanding price action,True,45,39,37,mixed,3.0,9.0,2016-08-26,business finance,1,3.8
bitcoin for beginners,True,50,37,22,beginner,4.0,12.0,2014-12-29,business finance,0,
"ias 16-property,plant and equipment",False,0,2166,20,mixed,3.0,9.0,2014-10-06,business finance,0,
basel ii,True,50,78,57,mixed,3.5,10.5,2014-03-06,business finance,1,4.2
forex trading plan,True,50,21,24,mixed,0.7,2.1,2016-02-13,business finance,1,3.2
financial modeling 101,False,0,1086,5,beginner,0.6166666666666667,1.85,2016-12-19,business finance,1,
learn financial modeling from scratch - part1,True,50,7,29,mixed,3.5,10.5,2016-04-06,business finance,1,4.3
introduction to small business accounting training tutorial,True,25,168,75,beginner,3.5,10.5,2013-01-09,business finance,1,4.0
learn basic concepts of economics step by step - complete,True,150,2801,25,mixed,1.5,4.5,2015-08-16,business finance,0,
introduction to digital payments,False,0,12217,17,beginner,1.0,3.0,2014-04-29,business finance,0,
the beginner's guide to the futures and options trading,False,0,6185,20,mixed,3.0,9.0,2016-01-18,business finance,1,4.0
bitcoin investing: the complete buy & hold strategy,True,25,477,41,mixed,4.0,12.0,2016-01-10,business finance,0,
financial modeling in excel for startups,True,50,1334,54,beginner,6.0,18.0,2014-01-05,business finance,1,4.4
learn to trade forex naked price action big shadow trade,False,0,5407,11,intermediate,1.0,3.0,2016-01-25,business finance,0,
forex trading for beginners,False,0,9483,22,beginner,2.0,6.0,2016-01-14,business finance,1,4.3
build a trading comps valuation model,True,50,1032,55,mixed,7.0,21.0,2014-10-01,business finance,1,4.5
the advanced forex course for smart traders,False,0,8236,25,mixed,5.0,15.0,2015-10-09,business finance,1,4.4
cost accounting overheads (professional course level),True,20,2383,19,mixed,2.5,7.5,2015-03-31,business finance,1,
beginners guide to stock market investing,False,0,3283,42,beginner,2.5,7.5,2016-09-15,business finance,0,
financial management capital market instruments,True,25,2650,17,beginner,1.0,3.0,2015-02-24,business finance,1,
npv and irr techniques for ca / cfa / cpa exams,True,20,1551,55,beginner,7.5,22.5,2014-09-22,business finance,1,
commercial credit analysis,True,50,545,42,mixed,7.5,22.5,2014-03-12,business finance,1,4.6
essential finance for managers,True,25,663,79,mixed,5.5,16.5,2015-04-16,business finance,1,4.2
bitcoin for accountants,False,0,3519,6,beginner,1.0,3.0,2015-02-06,business finance,0,
protrader -  advanced technical analysis,True,125,825,34,mixed,2.0,6.0,2016-08-22,business finance,1,3.6
binary options masterclass,True,200,70,16,mixed,2.0,6.0,2017-02-13,business finance,0,
188% profit in 1year - forex algo robot trading no indicator,True,120,357,20,mixed,2.0,6.0,2016-05-03,business finance,1,3.7
"financial accounting, its cycle, statements & analysis",True,20,853,35,beginner,5.0,15.0,2016-03-08,business finance,1,3.6
yield curve dynamics,True,50,397,19,mixed,3.0,9.0,2014-03-12,business finance,1,4.0
value investing and stock market fundamentals,True,195,74,17,beginner,3.0,9.0,2016-04-07,business finance,1,3.4
media training for financial service professionals,True,20,1254,64,mixed,7.0,21.0,2014-12-11,business finance,1,4.9
learn the forex naked price action pogo trade,True,60,89,10,intermediate,1.0,3.0,2016-02-10,business finance,0,
forex - price action reversal strategy,True,20,38,16,mixed,1.0,3.0,2016-07-04,business finance,1,4.6
budget preparation for an eu project proposal,True,50,18,5,intermediate,1.0,3.0,2015-06-01,business finance,1,4.3
corporate finance and alternative investment for cfa l1,True,20,103,27,mixed,4.5,13.5,2015-09-17,business finance,1,4.1
don't let your customers run your business,True,50,7,28,intermediate,2.5,7.5,2015-10-26,business finance,1,
stock trading: insider tips for determining market direction,True,95,104,11,mixed,1.0,3.0,2015-07-07,business finance,1,3.4
toptrader academy - complete options course,True,150,42,11,mixed,3.0,9.0,2016-09-13,business finance,1,4.4
working capital management for entrepreneurs,True,20,507,15,expert,1.0,3.0,2014-11-19,business finance,1,3.6
learn quickbooks to maintain books properly,True,20,241,26,beginner,2.5,7.5,2015-11-09,business finance,1,
cfa level i foundation: introduction to financial reporting,True,50,226,13,beginner,5.5,16.5,2013-08-05,business finance,0,
"fixed income valuation and analysis, cfa l2",True,20,50,12,mixed,3.0,9.0,2016-01-04,business finance,1,4.2
corporation tax returns uk,True,50,100,25,mixed,2.0,6.0,2015-07-23,business finance,1,3.7
trading for busy people,True,50,99,26,mixed,3.0,9.0,2015-07-06,business finance,1,4.0
basics of trading,True,40,99,27,beginner,1.0,3.0,2015-04-06,business finance,0,
cfp - introduction to financial planning,True,30,1192,38,beginner,12.0,36.0,2014-02-21,business finance,0,
investment portfolio analysis with python,True,50,209,37,mixed,7.0,21.0,2016-07-13,business finance,0,
day trading market structure signals,False,0,5529,5,mixed,2.0,6.0,2014-06-18,business finance,0,
professional bookkeeping and accounting 3: double entry,True,35,81,33,mixed,1.0,3.0,2016-01-21,business finance,1,4.4
"accounting basics by hector garcia, cpa",False,0,1924,5,beginner,1.0,3.0,2016-02-25,business finance,0,
stock markets: how i became rich by changing how i trade,True,20,646,17,mixed,1.0,3.0,2015-09-13,business finance,1,4.0
learn about bitcoin and bitcoin mining,True,20,520,9,beginner,0.5333333333333333,1.6,2015-05-01,business finance,1,2.6
take control by learning the stock market now,True,30,1440,21,beginner,1.0,3.0,2015-03-10,business finance,1,
cost accounting and financial management - a complete study,True,150,452,444,mixed,45.0,135.0,2016-03-04,business finance,1,4.3
learn global macro trading & investing for retail investor,True,75,178,27,mixed,1.5,4.5,2016-07-15,business finance,1,3.2
energiespar-formel // mehr geld durch wasser sparen zuhause,True,50,21,54,mixed,1.5,4.5,2017-04-14,business finance,1,
high swing - كورس لتعليم جميع مراحل احتراف تداول الفوركس,True,100,12,17,intermediate,2.5,7.5,2017-05-17,business finance,1,3.5
trader bot: introdução à linguagem mql5,True,20,209,33,mixed,70.0,210.0,2014-03-07,business finance,1,3.9
财务分析与估值建模入门,False,0,505,10,beginner,1.5,4.5,2016-12-03,business finance,1,5.0
aprende desde cero a operar el mercado de divisas forex,True,90,16,24,mixed,4.0,12.0,2015-10-23,business finance,0,
cómo usar metatrader 4 para hacer trading?,True,20,25,25,mixed,6.0,18.0,2015-07-30,business finance,1,3.9
zoho books gestion financière d'entreprise pas à pas,False,0,229,33,mixed,2.0,6.0,2017-05-26,business finance,1,4.0
aprende a llevar la contabilidad de forma informatizada,True,25,6,27,beginner,4.5,13.5,2016-02-08,business finance,1,4.0
psicología del trading,True,20,1,6,mixed,0.6,1.7999999999999998,2017-05-04,business finance,1,
la costruzione del budget di una proposta comunitaria,True,50,10,5,intermediate,1.0,3.0,2015-01-30,business finance,1,
"erfolgreich als signalgeber/in, per social- und copytrading",True,60,1,33,mixed,6.0,18.0,2016-12-13,business finance,1,
aprenda  a investir,True,20,34,9,mixed,8.0,24.0,2016-06-30,business finance,0,
teeter-totter accounting,True,90,0,12,beginner,1.0,3.0,2017-02-08,business finance,1,
beginning accounting,True,20,0,12,intermediate,0.6333333333333333,1.9,2016-12-26,business finance,1,
stop creditors from harassing you and avoid bankruptcy,True,20,0,7,beginner,0.6166666666666667,1.85,2017-02-02,business finance,1,
learn to trade using technical analysis,True,50,0,6,intermediate,0.5333333333333333,1.6,2017-05-02,business finance,1,
how to invest using etfs from former wall street trader,True,200,0,10,mixed,2.0,6.0,2017-02-15,business finance,1,
workshop on banking credit analysis process,True,100,0,7,mixed,1.5,4.5,2017-06-28,business finance,1,
the cuckoo strategy to get european funding,True,160,0,6,mixed,1.0,3.0,2016-01-06,business finance,1,
accounting - the 6 most important rules you must learn,True,20,0,9,mixed,1.0,3.0,2017-05-25,business finance,1,4.7
mutual funds for investors in retirement accounts,True,20,0,0,mixed,0.0,0.0,2015-12-17,business finance,0,
free ways to create passive income online,True,25,0,27,beginner,1.0,3.0,2017-04-17,business finance,1,
the cash flow statement - an introduction,True,50,0,10,beginner,1.5,4.5,2017-06-28,business finance,1,4.1
"options foundation - time decay, implied volatility, greeks",True,60,459,14,beginner,3.0,9.0,2013-02-17,business finance,1,4.1
buying call and put options - options beginner strategies,True,60,266,14,intermediate,3.0,9.0,2013-02-18,business finance,1,4.5
how to trade rsi pullback strategy: entry to exit (forex),True,150,104,21,mixed,2.0,6.0,2017-02-17,business finance,1,4.4
valuation of goodwill for ca / cfa / cma exams,True,20,1509,9,mixed,0.7166666666666667,2.15,2015-09-23,business finance,1,
forex - catch the big market moves in forex,True,20,212,14,intermediate,1.5,4.5,2014-06-02,business finance,1,4.0
season 2 mql4 tutorial bootcamp - metatrader4 trading robots,True,25,462,34,mixed,1.0,3.0,2015-07-16,business finance,0,
intermediate accounting 1: easy. fast. simple!,True,200,90,35,intermediate,2.5,7.5,2016-12-29,business finance,1,4.3
global macro investing - take control of the world's markets,True,30,153,27,intermediate,2.0,6.0,2016-05-16,business finance,0,
how to read a balance sheet,True,50,1055,64,beginner,3.5,10.5,2014-07-11,business finance,1,
credit repair from a financial institution,True,20,157,9,mixed,2.5,7.5,2014-01-14,business finance,0,
the binary institute -  binary options trading course,True,200,103,12,mixed,2.5,7.5,2015-12-14,business finance,1,4.4
mental models for wall street - become a better trader,False,0,1067,35,mixed,2.0,6.0,2016-12-14,business finance,1,4.5
株式投資に向く性格に変えるための心理学を学ぶ,True,20,58,28,mixed,1.5,4.5,2016-06-14,business finance,1,4.1
matemática financeira com hp12c e ms excel,True,20,74,30,beginner,4.5,13.5,2016-10-12,business finance,1,4.6
¡triunfar en la bolsa de valores no requiere de experiencia!,False,0,338,6,beginner,1.0,3.0,2017-05-30,business finance,1,3.6
cómo crear políticas contables bajo niif para pymes,True,20,27,6,mixed,1.0,3.0,2015-08-25,business finance,1,4.0
finanzas personales para vivir libre de deudas,True,75,76,77,beginner,6.0,18.0,2016-04-27,business finance,1,4.4
finanzas personales: logrando la libertad financiera,True,30,27,12,beginner,2.0,6.0,2015-01-09,business finance,0,
株式投資で本当のテクニカル分析ができるようになる,True,20,68,45,intermediate,2.5,7.5,2016-07-01,business finance,1,4.4
aktiver vermögensaufbau mit etf,True,20,112,33,beginner,2.0,6.0,2016-02-22,business finance,0,
socorro! preciso organizar as minhas finanças!,True,20,72,37,mixed,1.5,4.5,2016-01-08,business finance,0,
curso completo de opciones binarias: estrategias 90% acierto,True,145,335,26,mixed,1.5,4.5,2015-12-16,business finance,1,3.3
le basi del trading,True,200,22,18,mixed,3.5,10.5,2017-03-11,business finance,0,
【個人事業主向け】青色申告の記帳を自力で行うための複式簿記の基本,True,30,41,37,beginner,3.0,9.0,2016-05-25,business finance,1,3.7
profit and loss account for bankers and credit analysts,True,20,1,31,beginner,7.5,22.5,2017-04-23,business finance,0,
business accounts for managers,True,30,16,23,beginner,3.0,9.0,2013-04-23,business finance,1,3.9
black scholes option pricing model,True,25,3,10,beginner,1.0,3.0,2017-05-03,business finance,1,3.3
chief wealth officer,True,45,4,7,beginner,1.0,3.0,2016-06-03,business finance,1,4.6
practical accounts training a,True,35,2,127,intermediate,31.5,94.5,2017-01-18,business finance,1,4.5
international trade and new geographic economy,True,20,12,6,mixed,0.5333333333333333,1.6,2013-12-05,business finance,1,
2. principles of simple interest - advanced problems,True,20,10,12,intermediate,1.5,4.5,2014-01-20,business finance,0,
school of raising capital: agile financial modeling,True,20,12,11,mixed,1.5,4.5,2013-06-28,business finance,1,
how to read financial statements,True,20,5,59,beginner,2.0,6.0,2015-08-23,business finance,1,
"intro. to asset-backed securities, cfa level i,  2017 prep",True,20,1,13,mixed,3.0,9.0,2017-03-27,business finance,1,
reach your personal financial goals the easy way (2017 uk),True,95,2,59,mixed,4.5,13.5,2017-05-22,business finance,1,4.4
bitesize bookkeeping for busy people,True,20,9,13,beginner,1.5,4.5,2015-03-29,business finance,0,
do your own accounts,True,35,42,13,mixed,1.5,4.5,2015-02-13,business finance,1,3.8
cfa level 1 - derivatives,True,30,110,25,mixed,4.0,12.0,2014-07-21,business finance,1,4.3
accounting for everyone!,True,35,420,14,beginner,1.0,3.0,2014-11-19,business finance,1,
stock fundamental analysis with excel,True,50,206,50,mixed,10.0,30.0,2015-09-15,business finance,0,
financial accounting for beginners,True,60,164,22,mixed,1.5,4.5,2016-09-25,business finance,1,3.8
trading: how transformative learning drives expertise,True,30,69,16,mixed,1.0,3.0,2013-07-15,business finance,0,
manual bookkeeping,True,20,28,26,intermediate,2.5,7.5,2015-07-24,business finance,1,3.8
numeracy skills in business and everyday life:think and deal,True,20,90,15,beginner,0.6333333333333333,1.9,2016-10-11,business finance,1,
financial modelling in excel step by step,True,20,13,17,intermediate,1.5,4.5,2016-05-05,business finance,1,3.6
straight from business school: create financial statements,True,20,31,5,beginner,1.0,3.0,2013-11-28,business finance,1,4.0
how to pay less tax (uk version),True,50,13,98,mixed,0.5166666666666666,1.5499999999999998,2016-01-19,business finance,0,
interpreting financial statements,False,0,2119,54,mixed,2.0,6.0,2015-10-28,business finance,1,3.9
forex trading with binary options,True,25,136,21,mixed,3.0,9.0,2016-05-16,business finance,0,
triple p trading course,True,20,797,16,mixed,3.0,9.0,2013-12-24,business finance,1,3.9
cost accounting - a comprehensive study,True,180,503,286,mixed,29.5,88.5,2015-04-26,business finance,1,4.4
how to become a successful day trader,True,95,1150,27,mixed,2.5,7.5,2015-05-25,business finance,1,4.2
essentials of finance and investment in 2 hours,True,20,1403,14,beginner,2.0,6.0,2015-06-01,business finance,1,3.6
public speaking: you can give great financial presentations,True,20,916,23,mixed,6.5,19.5,2014-12-11,business finance,1,4.4
professional trading - consistent profits with low risk!,True,20,627,27,mixed,1.0,3.0,2015-10-17,business finance,1,3.6
trading for winning,True,200,168,27,mixed,2.0,6.0,2017-01-23,business finance,1,4.7
succeed in stocks even if you don't know where to start,False,0,2554,10,beginner,1.0,3.0,2017-03-09,business finance,1,4.6
options basics & trading with small capital! - level 1,True,30,120,19,beginner,2.0,6.0,2016-07-26,business finance,1,4.3
forex trading basic to advance professional level course,True,20,750,28,mixed,2.5,7.5,2016-05-05,business finance,1,
day trading in stocks: strategies for beginner investors,True,50,217,9,mixed,2.0,6.0,2015-01-08,business finance,1,3.6
learn to trade forex big u-turn trade,True,50,106,12,beginner,1.0,3.0,2016-02-24,business finance,0,
"technical analysis primer for trading stocks, bonds & forex",True,50,397,36,beginner,3.0,9.0,2015-11-23,business finance,1,4.7
diy: reduce unpaid federal tax thru  irs offer in compromise,True,20,44,8,mixed,1.0,3.0,2015-03-26,business finance,0,
stock trading with this strategy,True,50,30,6,mixed,1.0,3.0,2015-08-13,business finance,1,3.7
the psychology of trading,True,20,95,20,mixed,1.0,3.0,2017-02-02,business finance,1,2.9
professional forex strategy+2 weeks for free trading alerts,True,95,55,15,mixed,1.0,3.0,2016-03-29,business finance,0,
stock trading essentials for day traders,True,100,94,9,mixed,1.0,3.0,2015-01-08,business finance,1,3.4
basics of finance and budgeting,True,20,578,34,beginner,6.0,18.0,2014-05-19,business finance,1,3.4
portfolio management cfa l1 2016,True,20,393,34,mixed,5.0,15.0,2015-09-15,business finance,1,4.0
"trade stocks, forex & financial markets like a professional",True,20,116,12,mixed,3.0,9.0,2014-08-28,business finance,0,
the tax advantaged investor: a guide to legal tax reduction!,False,0,1888,25,mixed,2.0,6.0,2015-12-17,business finance,1,4.2
the smart option trader,True,45,412,74,mixed,13.0,39.0,2013-10-10,business finance,1,3.6
beginners chart patterns trading for penny stocks,True,200,40,26,beginner,1.5,4.5,2017-02-22,business finance,1,4.4
financial statements: learn accounting. unlock the numbers.,True,40,222,35,beginner,3.0,9.0,2016-02-17,business finance,1,4.5
cfa® level 1 2014 – alternative investments,True,30,831,13,mixed,2.0,6.0,2014-04-14,business finance,1,
interest rate swaps,True,50,485,20,mixed,3.5,10.5,2014-03-11,business finance,1,4.6
financial modelling for entrepreneurs,True,20,232,17,mixed,1.0,3.0,2014-09-20,business finance,1,3.4
economics - cfa level 1 - 2014,True,20,135,24,beginner,4.0,12.0,2014-11-08,business finance,0,
bookkeeping made simple,True,40,61,22,mixed,2.5,7.5,2015-07-16,business finance,1,4.5
what is bitcoin,True,20,61,27,mixed,5.0,15.0,2015-07-09,business finance,1,
accounting for ca cpt exams part i,True,50,874,120,mixed,13.5,40.5,2014-12-27,business finance,1,
raising capital for your business,True,50,22,60,mixed,2.5,7.5,2015-08-03,business finance,1,4.6
"silver, gold, and inflation",False,0,5597,11,beginner,1.0,3.0,2013-02-16,business finance,0,
accounting concepts for technocrats,True,20,261,35,beginner,2.5,7.5,2013-12-26,business finance,0,
beginner financial analysis: invest like warren buffett,True,50,83,19,beginner,0.6833333333333333,2.05,2014-03-10,business finance,0,
advance technical analysis,True,50,152,14,expert,3.5,10.5,2015-04-08,business finance,1,
the everyday investor: building wealth with venture capital,True,20,176,12,intermediate,2.5,7.5,2016-06-07,business finance,1,
quickbooks online : inventory management for non-finance,True,35,8,10,mixed,0.6666666666666666,2.0,2017-04-20,business finance,1,
law matters,True,20,327,12,beginner,0.45,1.35,2015-03-27,business finance,0,
learn to trade for profit: finding winning stocks - chinese,True,95,264,79,mixed,3.0,9.0,2015-10-08,business finance,1,4.9
financial accounting part 2 - passing the class,True,20,15,36,beginner,4.5,13.5,2017-05-01,business finance,1,4.5
simple options trading system,True,35,104,16,intermediate,1.5,4.5,2014-07-31,business finance,1,4.3
investments and financial markets,True,40,71,19,beginner,1.5,4.5,2014-07-22,business finance,0,
legal accounting,True,110,26,49,mixed,4.0,12.0,2014-09-21,business finance,1,3.6
"term loan appraisal for bankers, credit analysts",True,20,11,28,beginner,6.5,19.5,2017-04-03,business finance,0,
small biz doers' guide to small biz accounting + bookkeeping,True,20,1294,58,beginner,5.5,16.5,2013-08-28,business finance,0,
trade show samurai,True,95,32,7,mixed,0.5166666666666666,1.5499999999999998,2013-08-29,business finance,1,4.2
forex harmonic trading- with multiple forex chart examples,True,135,313,25,mixed,2.5,7.5,2016-11-28,business finance,0,
the cost of capital: the key to attract venture capitalists,True,50,635,6,mixed,0.6833333333333333,2.05,2016-03-22,business finance,0,
accounting for school students,True,30,1311,12,mixed,1.5,4.5,2015-05-22,business finance,1,
learn to trade the forex naked price action acapulco trade,True,70,288,13,intermediate,1.0,3.0,2016-01-25,business finance,0,
certificate in myob accountright premier 2017 course,True,200,97,29,mixed,3.0,9.0,2016-03-10,business finance,1,4.6
master the psychology of forex & binary options trading,True,20,53,7,intermediate,1.0,3.0,2016-07-04,business finance,1,4.0
learn to pick the right stock broker account,True,40,1102,14,beginner,0.5666666666666667,1.7,2014-12-24,business finance,1,
profit during crashing markets: a step-by-step guide,True,195,57,18,mixed,1.0,3.0,2016-05-16,business finance,0,
introduction to futures & options,True,50,694,27,mixed,4.5,13.5,2014-03-11,business finance,1,4.2
learn to invest in 7 steps,True,50,137,21,beginner,3.0,9.0,2015-03-29,business finance,0,
sell like a pro: insider secrets of successful selling!,True,115,12,25,mixed,2.5,7.5,2016-11-01,business finance,1,
3 little pigs: a multiple timeframe forex trading strategy,True,20,18,6,mixed,1.5,4.5,2017-02-24,business finance,0,
6. annuities due and deferred,True,20,170,16,mixed,1.5,4.5,2014-02-24,business finance,1,
cfa® level 1 2014 – quantitative methods,True,50,119,27,mixed,5.0,15.0,2015-02-26,business finance,1,
ifric 13-customer loyalty programmes (revenue),False,0,2058,6,mixed,0.6,1.7999999999999998,2014-07-05,business finance,0,
forex currency trading for beginners,True,25,35,28,beginner,4.0,12.0,2014-06-17,business finance,1,4.7
basic technical analysis,True,50,40,27,beginner,2.5,7.5,2015-08-05,business finance,1,
forex:trade management & psychology,True,150,13,19,intermediate,2.0,6.0,2016-09-21,business finance,1,4.1
"working capital assessment for bankers, credit analysts",True,20,4,29,beginner,7.0,21.0,2017-04-06,business finance,0,
"cfa level i workshop 6: alternatives, pm and economics",True,20,71,5,mixed,1.0,3.0,2013-08-12,business finance,0,
cfa level i workshop 3: financial reporting & analysis ii,True,20,71,5,mixed,1.0,3.0,2013-08-12,business finance,0,
how to trade in the forex market,True,200,6,39,intermediate,2.5,7.5,2017-03-29,business finance,1,
bookkeeping practicals with software,True,35,1,130,intermediate,31.5,94.5,2017-02-07,business finance,1,
8 steps to achieve financial freedom and escape debt,True,40,5,48,beginner,5.5,16.5,2015-11-13,business finance,1,
trading basics in 30 minutes,True,50,1,6,beginner,0.5333333333333333,1.6,2017-02-26,business finance,1,
technical charting,True,20,4,6,intermediate,1.0,3.0,2015-11-02,business finance,0,
profits turbo,True,20,10,7,intermediate,5.5,16.5,2013-06-03,business finance,0,
nest egg investing,True,45,6,12,beginner,2.0,6.0,2014-06-27,business finance,0,
economics for beginners - various concepts,True,25,2,34,beginner,2.5,7.5,2017-01-02,business finance,1,
investing in stocks & shares,True,20,2,24,beginner,2.0,6.0,2016-05-23,business finance,1,4.1
learn financial modeling from scratch - part 2,True,50,2,27,mixed,3.5,10.5,2016-04-07,business finance,1,
learn financial modeling from scratch - part 3,True,50,2,22,mixed,2.0,6.0,2016-04-07,business finance,1,5.0
a practical guide to wealth creation,True,35,6,7,mixed,1.0,3.0,2016-11-18,business finance,1,4.8
"'geometry of chance strategy of defeating the roulette.""",True,30,2,10,intermediate,1.5,4.5,2016-06-28,business finance,1,4.4
trading algorítmico en forex: crea tu primer robot de forex!,True,170,206,39,mixed,6.5,19.5,2016-03-12,business finance,0,
mql4 bootcamp tutorial- trading robot coding in metatrader4,True,20,313,25,beginner,1.0,3.0,2015-07-05,business finance,0,
introducción a la contabilidad,True,20,193,14,beginner,1.0,3.0,2014-12-17,business finance,1,3.9
einnahmen aus udemy-kursen als dozent korrekt versteuern,True,30,66,11,beginner,1.0,3.0,2015-04-09,business finance,1,3.9
contabilidad gubernamental en méxico,True,30,270,24,mixed,3.5,10.5,2015-08-14,business finance,1,5.0
株式投資に必要なスキルの学習手順を学ぶ,True,20,139,29,beginner,2.0,6.0,2016-06-09,business finance,1,4.5
formação de preços em serviços,True,35,77,28,intermediate,2.0,6.0,2017-04-26,business finance,1,4.0
"geld verdienen mit dem ticken der uhr, wie warren buffett!",True,195,225,33,mixed,5.0,15.0,2016-03-30,business finance,0,
торговля дельта-нейтральными стренглами,True,150,23,25,mixed,1.5,4.5,2016-03-10,business finance,1,4.4
guía práctica para comprar acciones en la bolsa de usa,False,0,4876,36,intermediate,4.5,13.5,2014-09-11,business finance,1,4.4
contabilidad financiera: conoce el lenguaje de los negocios.,True,20,244,21,beginner,2.5,7.5,2015-06-16,business finance,0,
curso de day trader para iniciantes,False,0,1278,13,beginner,1.5,4.5,2016-11-03,business finance,0,
curso de iniciación al trading,True,85,31,40,mixed,10.5,31.5,2015-11-26,business finance,0,
complete gst course for small and medium enterprises,True,75,8,45,beginner,6.0,18.0,2017-06-14,business finance,1,
3 documentos clave para administrar tu empresa con éxito,True,45,40,18,intermediate,1.0,3.0,2013-05-16,business finance,1,4.2
forex/opciones binarias para principiantes,True,25,9,9,beginner,2.0,6.0,2016-04-01,business finance,1,
15 mandamientos para ganar dinero en bolsa,True,20,45,49,mixed,8.5,25.5,2014-10-14,business finance,0,
le bitcoin et la blockchain,True,80,13,12,mixed,0.7333333333333333,2.2,2017-03-13,business finance,1,3.4
contabilità generale,True,200,4,40,mixed,8.5,25.5,2017-05-29,business finance,0,
торговля опционами: как заработать на волатильности,True,150,20,29,mixed,2.0,6.0,2016-02-25,business finance,1,4.3
estrategias de inversión aplicadas al mundo del trading,True,20,9,25,mixed,3.0,9.0,2016-05-26,business finance,1,3.6
バイナリーオプション取引,True,85,29,24,mixed,0.65,1.95,2016-11-28,business finance,1,2.4
caza los enormes movimientos del mercado,True,20,6,13,mixed,1.5,4.5,2015-11-12,business finance,1,
le basi del trading online,True,45,7,27,beginner,3.5,10.5,2017-05-31,business finance,1,3.8
自分に合った投資信託を見つけよう！,True,25,859,23,beginner,2.0,6.0,2017-03-31,business finance,1,4.0
monatlich geld anlegen für später!,True,30,5983,7,beginner,0.6166666666666667,1.85,2015-10-06,business finance,1,4.2
invierte en la bolsa mexicana y de usa,True,200,1673,40,beginner,5.5,16.5,2015-08-10,business finance,1,4.2
gestão financeira para pequenas e médias empresas,True,115,1284,45,mixed,4.5,13.5,2016-01-29,business finance,1,4.7
curso completo de bitcoin - ganhe 0.00005 bitcoin,True,30,394,73,mixed,5.5,16.5,2017-02-06,business finance,0,
tudo sobre investimentos em renda fixa,True,45,689,16,mixed,2.0,6.0,2016-08-22,business finance,1,4.3
aprende a invertir sin capital,True,130,649,29,beginner,1.5,4.5,2017-05-01,business finance,1,4.5
apprendre à trader sur le marché du forex - guide complet,True,140,187,38,beginner,3.0,9.0,2017-03-07,business finance,1,4.7
introducción a las finanzas,True,30,1798,15,beginner,1.5,4.5,2015-01-27,business finance,1,3.7
finanzielle unabhängigkeit-1: erste schritte zur million,True,20,465,28,beginner,1.0,3.0,2016-09-12,business finance,1,4.0
forex para principiantes-ejemplos en vivo de trading real,True,140,813,52,beginner,5.0,15.0,2015-10-05,business finance,0,
finanzielle unabhängigkeit-3 millionär werden mit immobilien,True,20,326,14,expert,1.0,3.0,2016-09-12,business finance,1,3.7
introduction to health financing,True,85,26,17,beginner,2.0,6.0,2016-05-17,business finance,0,
accounting cycle: learn the concepts in 60 minutes,True,20,26,14,mixed,1.0,3.0,2016-01-26,business finance,1,
