name,students,course_type,institution,is_university,level,subject,hours_per_week,weeks,total_effort,price
micro and nanofabrication (mems),16094,self-paced on your time,école polytechnique fédérale de lausanne,1,expert,engineering,4.0,7.0,28.0,199
scientific methods and research,7501,self-paced on your time,ural federal university,1,intermediate,science,3.5,5.0,17.5,49
customer centric marketing for entrepreneurs,14003,self-paced on your time,babson college,1,intermediate,business & management,5.0,4.0,20.0,149
dog behavior: problems and solutions,16467,self-paced on your time,arizona state university,1,intermediate,social sciences,7.0,3.0,21.0,169
the business of mining,20406,self-paced on your time,curtin university,1,beginner,business & management,2.5,4.0,10.0,139
"social work practice in community organization, management and policy/evaluation",9522,self-paced on your time,the university of michigan,1,expert,social sciences,9.0,8.0,72.0,199
understanding the australian health care system,8343,self-paced on your time,the university of queensland,1,beginner,medicine,1.5,9.0,13.5,59
age of sustainable development,10019,self-paced on your time,sdg academy,0,intermediate,social sciences,5.0,14.0,70.0,49
multi-object tracking for automotive systems,8581,instructor-led on a course schedule,chalmers university of technology,1,expert,engineering,15.0,10.0,150.0,249
strategic leadership in healthcare,6237,self-paced on your time,doane university,1,intermediate,business & management,7.5,5.0,37.5,199
terrorism and counterterrorism: an introduction,14128,self-paced on your time,georgetown university,1,beginner,humanities,9.0,3.0,27.0,49
exploring psychology's core concepts|走进心理学,5741,self-paced on your time,tsinghua university,1,beginner,social sciences,4.0,6.0,24.0,139
creating virtual reality (vr) apps,22349,self-paced on your time,"the university of california, san diego",1,intermediate,computer science,6.0,6.0,36.0,99
dynamics and control,27763,self-paced on your time,universitat politècnica de valencia,0,beginner,engineering,4.5,6.0,27.0,50
finding your cybersecurity career path,19283,self-paced on your time,university of washington,1,beginner,computer science,3.5,6.0,21.0,199
introducción a la caligrafía y paleografía en archivos hispanos medievales y modernos,12674,self-paced on your time,universidad carlos iii de madrid,1,beginner,humanities,3.5,6.0,21.0,29
mechanics: rotational dynamics,13183,self-paced on your time,massachusetts institute of technology,1,intermediate,physics,11.0,12.0,132.0,49
liderazgo orientado al florecimiento humano,7911,self-paced on your time,tecnológico de monterrey,1,beginner,business & management,6.5,4.0,26.0,149
