name,students,course_type,institution,is_university,level,subject,hours_per_week,weeks,total_effort,price
circuits and electronics 1: basic circuit analysis,52639,self-paced on your time,massachusetts institute of technology,1,beginner,electronics,6.0,5.0,30.0,169
introduction to investments,91788,self-paced on your time,indian institute of management bangalore,1,intermediate,business & management,4.0,5.0,20.0,50
improving your business through a culture of health,54136,self-paced on your time,harvard university,1,beginner,business & management,2.0,9.0,18.0,99
introduction to linear models and matrix algebra,92004,self-paced on your time,harvard university,1,intermediate,math,3.0,4.0,12.0,149
do your venture: entrepreneurship for everyone,61989,self-paced on your time,indian institute of management bangalore,1,beginner,business & management,3.5,6.0,21.0,150
el valor de la creatividad y la innovación: la economía naranja,23728,self-paced on your time,inter-american development bank,0,beginner,art & culture,3.0,8.0,24.0,25
humanitarian response to conflict and disaster,119891,self-paced on your time,harvard university,1,beginner,health & safety,3.5,5.0,17.5,99
"women making history: ten objects, many stories",38939,self-paced on your time,harvard university,1,beginner,history,2.5,8.0,20.0,99
masterpieces of world literature,88789,self-paced on your time,harvard university,1,beginner,literature,6.0,12.0,72.0,149
sql for data science,39184,self-paced on your time,ibm,0,beginner,data analysis & statistics,3.0,4.0,12.0,39
el cerebro y las emociones en el lenguaje,41279,self-paced on your time,universidad del rosario,1,beginner,communication,4.5,5.0,22.5,49
science & cooking: from haute cuisine to soft matter science (physics),62673,self-paced on your time,harvard university,1,beginner,physics,2.5,16.0,40.0,169
python: aprender a programar,21613,self-paced on your time,universitat politècnica de valencia,0,beginner,computer science,3.5,8.0,28.0,49
marketing analytics: competitive analysis and market segmentation,70682,self-paced on your time,"university of california, berkeley",1,intermediate,computer science,6.0,4.0,24.0,249
malariax: defeating malaria from the genes to the globe,37598,self-paced on your time,harvard university,1,intermediate,biology & life sciences,4.0,8.0,32.0,49
entrepreneurship in emerging economies,113602,self-paced on your time,harvard university,1,beginner,business & management,4.0,6.0,24.0,125
javascript introduction,160112,self-paced on your time,the world wide web consortium (w3c),0,beginner,computer science,7.0,5.0,35.0,199
people management,113592,self-paced on your time,indian institute of management bangalore,1,beginner,business & management,3.0,6.0,18.0,150
using email for networking in english,57208,self-paced on your time,university of washington,1,beginner,language,4.0,4.0,16.0,149
databases: relational databases and sql,20502,self-paced on your time,stanford university,1,beginner,computer science,9.0,2.0,18.0,50
c programming: getting started,104108,self-paced on your time,dartmouth_imtx-dartmouth college-imt,1,beginner,computer science,3.0,7.0,21.0,49
supply chain analytics,145049,instructor-led on a course schedule,massachusetts institute of technology,1,beginner,business & management,10.0,15.0,150.0,199
programming for the web with javascript,91406,self-paced on your time,university of pennsylvania,1,intermediate,computer science,7.0,4.0,28.0,149
introduction to digital humanities,37501,self-paced on your time,harvard university,1,beginner,humanities,3.0,7.0,21.0,99
upper-intermediate english: business and industry,103704,self-paced on your time,universitat politècnica de valencia,0,intermediate,language,4.0,4.0,16.0,50
emsat english preparation - level 1,29101,self-paced on your time,united arab emirates university,1,beginner,language,2.5,6.0,15.0,49
python for data science,266978,self-paced on your time,"the university of california, san diego",1,expert,data analysis & statistics,9.0,10.0,90.0,350
empathy and emotional intelligence at work,45867,self-paced on your time,"university of california, berkeley",1,beginner,business & management,1.5,4.0,6.0,199
design thinking and creativity for innovation,47549,self-paced on your time,the university of queensland,1,intermediate,business & management,9.0,10.0,90.0,5
china and communism,69104,self-paced on your time,harvard university,1,beginner,history,2.0,15.0,30.0,139
mandarin chinese level 1,56040,self-paced on your time,mandarinx,0,beginner,language,7.0,6.0,42.0,149
introduction to biology - the secret of life,147512,instructor-led on a course schedule,massachusetts institute of technology,1,beginner,biology & life sciences,7.5,16.0,120.0,150
photoshop: una herramienta para presentaciones innovadoras,22969,self-paced on your time,pontificia universidad javeriana,1,beginner,art & culture,9.0,5.0,45.0,19
causal diagrams: draw your assumptions before your conclusions,50949,self-paced on your time,harvard university,1,beginner,data analysis & statistics,2.5,9.0,22.5,99
生活英语听说 | conversational english skills,301585,self-paced on your time,tsinghua university,1,beginner,communication,3.0,10.0,30.0,49
shakespeare’s othello: the moor,31868,self-paced on your time,harvard university,1,beginner,humanities,6.0,4.0,24.0,49
basic spanish 2: one step further,67687,self-paced on your time,universitat politècnica de valencia,0,beginner,language,4.5,4.0,18.0,50
financial market analysis,37452,self-paced on your time,the international monetary fund,0,intermediate,economics & finance,9.0,7.0,63.0,25
cs50's computer science for business professionals,73208,self-paced on your time,harvard university,1,beginner,computer science,4.0,6.0,24.0,90
gobierno digital,18883,self-paced on your time,inter-american development bank,0,beginner,social sciences,1.5,8.0,12.0,25
upper-intermediate english: business and globalization,58532,self-paced on your time,universitat politècnica de valencia,0,intermediate,language,4.0,4.0,16.0,50
the opioid crisis in america,54805,self-paced on your time,harvard university,1,beginner,medicine,1.5,10.0,15.0,99
gestión de proyectos de desarrollo,306286,self-paced on your time,inter-american development bank,0,beginner,business & management,3.5,10.0,35.0,49
statistical learning,27968,self-paced on your time,stanford university,1,beginner,data analysis & statistics,4.0,9.0,36.0,50
introduction to social psychology,79365,self-paced on your time,the university of queensland,1,beginner,humanities,1.5,7.0,10.5,99
artificial intelligence (ai),265104,instructor-led on a course schedule,columbia university,1,expert,computer science,9.0,12.0,108.0,249
american government: constitutional foundations,35504,self-paced on your time,harvard university,1,beginner,social sciences,3.0,4.0,12.0,49
introducción a la inversión bursátil,64261,self-paced on your time,universitat politècnica de valencia,0,beginner,economics & finance,3.5,2.0,7.0,50
japanese books: from manuscript to print,17581,self-paced on your time,harvard university,1,beginner,art & culture,1.5,9.0,13.5,100
foundations of modern finance  i,24108,instructor-led on a course schedule,massachusetts institute of technology,1,expert,economics & finance,12.0,12.0,144.0,450
operations management,126093,self-paced on your time,indian institute of management bangalore,1,intermediate,business & management,3.0,7.0,21.0,150
marketing management,80010,self-paced on your time,indian institute of management bangalore,1,intermediate,business & management,3.0,9.0,27.0,150
marketing enfocado en la estrategia de servicios,24618,self-paced on your time,universidad nacional de córdoba,1,beginner,business & management,6.0,6.0,36.0,119
introduction to marketing,169126,self-paced on your time,university of british columbia,1,beginner,business & management,4.0,6.0,24.0,150
programming basics,215059,self-paced on your time,iitbombay,1,beginner,computer science,7.0,9.0,63.0,149
probability and statistics in data science using python,106286,self-paced on your time,"the university of california, san diego",1,expert,data analysis & statistics,11.0,10.0,110.0,350
html5 coding essentials and best practices,241287,self-paced on your time,the world wide web consortium (w3c),0,intermediate,computer science,7.0,6.0,42.0,199
first nights - beethoven's 9th symphony and the 19th century orchestra,37426,self-paced on your time,harvard university,1,beginner,humanities,4.0,3.0,12.0,49
cell biology: mitochondria,64142,self-paced on your time,harvard university,1,beginner,biology & life sciences,3.0,4.0,12.0,99
"algorithms: design and analysis, part 1",20163,self-paced on your time,stanford university,1,intermediate,computer science,3.0,6.0,18.0,149
introducción al office 365,16470,self-paced on your time,universitat politècnica de valencia,0,beginner,computer science,2.5,7.0,17.5,75
creative thinking: techniques and tools for success,54787,self-paced on your time,imperial college london,1,beginner,humanities,3.0,7.0,21.0,49
upper-intermediate english: business and technology,47451,self-paced on your time,universitat politècnica de valencia,0,intermediate,language,4.0,4.0,16.0,50
shakespeare's hamlet: the ghost,38331,self-paced on your time,harvard university,1,beginner,humanities,6.0,4.0,24.0,49
flashdiet: aprende a comer sano,48105,self-paced on your time,universitat politècnica de valencia,0,beginner,food & nutrition,2.5,5.0,12.5,50
cs50's understanding technology,50030,self-paced on your time,harvard university,1,beginner,computer science,4.0,6.0,24.0,90
introduction to aerospace structures and materials,37126,self-paced on your time,delft university of technology,1,beginner,engineering,5.0,8.0,40.0,50
visualizing data with python,42101,self-paced on your time,ibm,0,intermediate,data analysis & statistics,3.0,5.0,15.0,39
success: practical thinking skills,24414,self-paced on your time,the hong kong polytechnic university,1,beginner,philosophy & ethics,5.0,4.0,20.0,50
english for doing business in asia – speaking,68422,self-paced on your time,the hong kong university of science and technology,1,beginner,humanities,3.5,7.0,24.5,60
nutrition and health: macronutrients and overnutrition,208582,self-paced on your time,wageningen university & research,1,beginner,biology & life sciences,7.0,9.0,63.0,99
"contemporary china: the people's republic, taiwan, and hong kong",66771,self-paced on your time,harvard university,1,beginner,history,2.0,15.0,30.0,139
introduction to clinical psychology,57234,self-paced on your time,the university of queensland,1,beginner,humanities,1.5,7.0,10.5,99
modern masterpieces of world literature,48049,self-paced on your time,harvard university,1,beginner,literature,4.5,8.0,36.0,99
"citizen politics in america: public opinion, elections, interest groups, and the media",24259,self-paced on your time,harvard university,1,beginner,social sciences,3.0,4.0,12.0,49
applied scrum for agile project management,55293,self-paced on your time,"the university of maryland, college park-university system of maryland",1,expert,engineering,2.5,4.0,10.0,199
corporate finance,62798,self-paced on your time,indian institute of management bangalore,1,intermediate,business & management,4.0,5.0,20.0,150
judaism through its scriptures,50540,self-paced on your time,harvard university,1,beginner,humanities,7.5,4.0,30.0,99
excel avanzado: importación y análisis de datos,47184,self-paced on your time,universitat politècnica de valencia,0,expert,data analysis & statistics,3.5,8.0,28.0,75
css basics,95163,self-paced on your time,the world wide web consortium (w3c),0,beginner,computer science,6.0,5.0,30.0,199
unlocking information security: part i,19905,self-paced on your time,israelx-tel aviv university,1,intermediate,computer science,5.0,6.0,30.0,149
becoming an effective leader,55937,self-paced on your time,the university of queensland,1,intermediate,communication,9.0,10.0,90.0,99
digital branding and engagement,122977,self-paced on your time,curtin university,1,intermediate,communication,3.5,4.0,14.0,99
introduction to cybersecurity,73021,self-paced on your time,university of washington,1,beginner,computer science,3.5,6.0,21.0,199
general academic english|生活英语进阶,17526,self-paced on your time,tsinghua university,1,beginner,language,3.5,8.0,28.0,49
gestión de personas: recursos humanos,19687,self-paced on your time,universidad nacional de córdoba,1,beginner,business & management,6.0,5.0,30.0,119
from poverty to prosperity: understanding economic development,91062,self-paced on your time,university of oxford,1,intermediate,social sciences,2.5,6.0,15.0,149
medical terminology,31354,self-paced on your time,doane university,1,beginner,biology & life sciences,7.5,8.0,60.0,79
ancient masterpieces of world literature,48899,self-paced on your time,harvard university,1,beginner,literature,4.5,6.0,27.0,99
shakespeare's the merchant of venice: shylock,23283,self-paced on your time,harvard university,1,beginner,humanities,6.0,4.0,24.0,49
gestión del estrés y mindfulness,15965,self-paced on your time,universidades anáhuac,1,beginner,health & safety,4.5,4.0,18.0,49
behavioural economics in action,66764,self-paced on your time,university of toronto,1,beginner,business & management,4.5,6.0,27.0,139
finance for everyone: smart tools for decision-making,45029,self-paced on your time,the university of michigan,1,beginner,business & management,5.5,6.0,33.0,49
creating innovative business models,12227,self-paced on your time,"university system of maryland-the university of maryland, college park",1,beginner,business & management,2.5,4.0,10.0,149
u.lab: leading from the emerging future,79424,self-paced on your time,massachusetts institute of technology,1,beginner,business & management,5.0,14.0,70.0,99
electric cars: introduction,56171,self-paced on your time,delft university of technology,1,intermediate,engineering,4.5,4.0,18.0,50
inteligencia artificial para todos: domina los fundamentos,11764,self-paced on your time,ibm,0,beginner,computer science,1.5,4.0,6.0,49
marketing analytics,55228,instructor-led on a course schedule,columbia university,1,expert,business & management,9.0,12.0,108.0,249
introducción a la regulación emocional basada en mindfulness,20634,self-paced on your time,universidad autónoma de madrid,1,beginner,health & safety,5.5,4.0,22.0,49
design thinking fundamentals,56446,self-paced on your time,rochester institute of technology,1,intermediate,business & management,10.0,6.0,60.0,299
basic spanish 3: getting there,17569,self-paced on your time,universitat politècnica de valencia,0,beginner,language,3.5,4.0,14.0,50
mi propia huerta orgánica,11346,self-paced on your time,universidad nacional de córdoba,1,beginner,biology & life sciences,1.5,4.0,6.0,29
sustainability in architecture: an interdisciplinary introduction,31352,self-paced on your time,universitat politècnica de valencia,0,intermediate,architecture,3.5,4.0,14.0,50
gestión de riesgos en proyectos de desarrollo,47676,self-paced on your time,inter-american development bank,0,intermediate,business & management,2.5,10.0,25.0,25
python data structures,36369,self-paced on your time,the university of michigan,1,beginner,computer science,3.0,7.0,21.0,49
the science and business of biotechnology,17039,self-paced on your time,massachusetts institute of technology,1,intermediate,business & management,11.0,16.0,176.0,49
finance essentials,63666,self-paced on your time,imperial college business school-imperial college london,1,beginner,business & management,3.0,6.0,18.0,79
introduction to the internet of things (iot),89421,self-paced on your time,curtin university,1,beginner,computer science,2.5,6.0,15.0,149
'talk to me': improving mental health and suicide prevention in young adults,11481,self-paced on your time,curtin university,1,beginner,health & safety,2.5,6.0,15.0,139
disaster medicine training,10937,self-paced on your time,stanford university,1,beginner,medicine,1.5,8.0,12.0,50
nutrition and health: human microbiome,44079,self-paced on your time,wageningen university & research,1,beginner,health & safety,4.0,6.0,24.0,49
customer relationship management,53085,self-paced on your time,indian institute of management bangalore,1,intermediate,business & management,4.0,6.0,24.0,50
islam through its scriptures,65430,self-paced on your time,harvard university,1,beginner,humanities,7.5,4.0,30.0,99
mechatronics revolution: fundamentals and core concepts,11619,self-paced on your time,the georgia institute of technology,1,beginner,engineering,7.0,16.0,112.0,149
accounting for decision-making,57710,self-paced on your time,indian institute of management bangalore,1,intermediate,business & management,4.0,7.0,28.0,150
c programming: language foundations,46400,self-paced on your time,dartmouth_imtx-dartmouth college-imt,1,beginner,computer science,3.0,7.0,21.0,49
big data sin misterios,65564,self-paced on your time,inter-american development bank,0,intermediate,data analysis & statistics,4.5,10.0,45.0,25
becoming a successful leader (inclusive leadership training),215705,self-paced on your time,catalyst,0,beginner,communication,1.5,4.0,6.0,49
"english for journalists, part 1",50847,self-paced on your time,"university of california, berkeley",1,intermediate,communication,3.5,5.0,17.5,139
introduction to networking,16134,self-paced on your time,new york university,1,beginner,computer science,4.0,7.0,28.0,150
accounting essentials,58463,self-paced on your time,imperial college business school-imperial college london,1,beginner,business & management,4.0,6.0,24.0,79
introduction to java programming: starting to code in java,325554,self-paced on your time,universidad carlos iii de madrid,1,beginner,computer science,8.5,5.0,42.5,149
european paintings: from leonardo to rembrandt to goya,60734,self-paced on your time,universidad carlos iii de madrid,1,beginner,humanities,2.5,7.0,17.5,99
java programming fundamentals,12042,self-paced on your time,universidad galileo,1,intermediate,engineering,9.0,5.0,45.0,49
"hollywood: history, industry, art",50033,self-paced on your time,university of pennsylvania,1,beginner,communication,3.5,4.0,14.0,169
data science tools,15627,self-paced on your time,ibm,0,beginner,data analysis & statistics,5.0,7.0,35.0,39
statistical thinking for data science and analytics,198861,self-paced on your time,columbia university,1,beginner,computer science,8.5,5.0,42.5,99
philosophy and critical thinking,97175,self-paced on your time,the university of queensland,1,beginner,humanities,2.5,6.0,15.0,99
international law,91868,self-paced on your time,université catholique de louvain,1,expert,law,7.0,12.0,84.0,150
tourism and travel management,38503,self-paced on your time,the university of queensland,1,beginner,business & management,2.5,7.0,17.5,5
project management life cycle,120019,self-paced on your time,rochester institute of technology,1,intermediate,business & management,10.0,10.0,100.0,150
solar energy,125069,self-paced on your time,delft university of technology,1,beginner,engineering,7.0,8.0,56.0,50
public speaking,10129,self-paced on your time,rochester institute of technology,1,beginner,communication,5.0,3.0,15.0,199
japanese pronunciation for communication,62757,self-paced on your time,waseda university,1,beginner,communication,4.0,5.0,20.0,99
mindfulness and resilience to stress at work,33414,self-paced on your time,"university of california, berkeley",1,beginner,business & management,1.5,4.0,6.0,199
framing your communication to inspire and convince,49351,self-paced on your time,delft university of technology,1,intermediate,business & management,4.5,5.0,22.5,125
business foundations,55154,self-paced on your time,university of british columbia,1,beginner,business & management,4.0,6.0,24.0,150
the chemistry of life,78704,self-paced on your time,kyoto university,1,beginner,biology & life sciences,2.5,13.0,32.5,49
nutrition and health: micronutrients and malnutrition,78266,self-paced on your time,wageningen university & research,1,intermediate,biology & life sciences,7.0,7.0,49.0,99
digital design,12339,self-paced on your time,the hong kong university of science and technology,1,beginner,design,5.5,5.0,27.5,50
machine learning for data science and analytics,140419,self-paced on your time,columbia university,1,beginner,computer science,8.5,5.0,42.5,99
the science of everyday thinking,318399,self-paced on your time,the university of queensland,1,beginner,business & management,2.5,12.0,30.0,99
gestion de projets de développement,41663,self-paced on your time,inter-american development bank,0,intermediate,business & management,3.5,10.0,35.0,25
product management fundamentals,11913,self-paced on your time,"the university of maryland, college park-university system of maryland",1,beginner,business & management,2.5,4.0,10.0,199
international human rights law,74424,self-paced on your time,université catholique de louvain,1,expert,law,7.0,12.0,84.0,150
the best start in life: early childhood development for sustainable development,23139,self-paced on your time,sdg academy,0,intermediate,education & teacher training,3.0,8.0,24.0,49
data science and machine learning capstone project,21809,self-paced on your time,ibm,0,intermediate,data analysis & statistics,3.5,6.0,21.0,99
"data science for construction, architecture and engineering",11113,self-paced on your time,the national university of singapore,1,beginner,data analysis & statistics,5.0,7.0,35.0,199
"nutrition, heart disease and diabetes",24986,self-paced on your time,wageningen university & research,1,intermediate,food & nutrition,7.0,5.0,35.0,99
project management for development,62099,self-paced on your time,inter-american development bank,0,intermediate,business & management,3.5,10.0,35.0,49
introduction to cloud infrastructure technologies,86923,self-paced on your time,the linux foundation,0,beginner,computer science,3.5,14.0,49.0,169
"circular fashion: design, science and value in a sustainable clothing industry",13566,self-paced on your time,wageningen university & research,1,beginner,art & culture,5.0,5.0,25.0,65
machine learning,150855,instructor-led on a course schedule,columbia university,1,expert,computer science,9.0,12.0,108.0,249
introducción a la gestión de proyectos,98517,self-paced on your time,universitat politècnica de valencia,0,beginner,business & management,4.5,5.0,22.5,50
free cash flow analysis,36085,self-paced on your time,columbia university,1,beginner,business & management,3.5,5.0,17.5,225
lean production,55926,self-paced on your time,technische universität münchen,1,beginner,business & management,3.5,6.0,21.0,99
introduction to algebra,131197,self-paced on your time,schoolyourself,1,beginner,math,5.0,4.0,20.0,139
"latex for students, engineers, and scientists",11823,self-paced on your time,iitbombay,1,beginner,engineering,3.5,7.0,24.5,139
leading with effective communication (inclusive leadership training),107770,self-paced on your time,catalyst,0,beginner,communication,1.5,4.0,6.0,50
anatomy: musculoskeletal and integumentary systems,51969,self-paced on your time,the university of michigan,1,beginner,biology & life sciences,2.5,4.0,10.0,49
"inglés empresarial: ventas, gestión y liderazgo",10897,instructor-led on a course schedule,universidades anáhuac,1,beginner,business & management,6.5,4.0,26.0,49
business strategy from wharton: competitive advantage,26675,self-paced on your time,the wharton school of the university of pennsylvania,1,intermediate,business & management,3.5,6.0,21.0,199
inteligencia emocional para el liderazgo efectivo y colaboración,14726,self-paced on your time,universidades anáhuac,1,beginner,social sciences,4.5,4.0,18.0,49
introducción al desarrollo de aplicaciones web,27757,self-paced on your time,universidad autónoma de madrid,1,beginner,computer science,4.5,5.0,22.5,49
"six sigma: analyze, improve, control",56016,self-paced on your time,technische universität münchen,1,beginner,business & management,3.5,8.0,28.0,99
introducción a la inteligencia emocional,18830,self-paced on your time,universidades anáhuac,1,beginner,social sciences,4.0,4.0,16.0,49
ap® microeconomics,53664,self-paced on your time,massachusetts institute of technology,1,beginner,economics & finance,3.5,12.0,42.0,49
engineering calculus and differential equations,21535,self-paced on your time,university of hong kong,1,beginner,math,4.5,6.0,27.0,50
linear algebra - foundations to frontiers,88570,self-paced on your time,the university of texas at austin,1,intermediate,computer science,8.0,15.0,120.0,49
habilidades de negociación y comunicación efectiva,19614,self-paced on your time,tecnológico de monterrey,1,beginner,business & management,6.5,4.0,26.0,149
effective communication for today's leader,8862,self-paced on your time,tecnológico de monterrey,1,intermediate,business & management,6.5,4.0,26.0,149
electric cars: technology,40972,self-paced on your time,delft university of technology,1,intermediate,engineering,4.5,4.0,18.0,50
site planning online,12948,self-paced on your time,massachusetts institute of technology,1,intermediate,design,5.0,10.0,50.0,99
macroeconometric forecasting,69358,self-paced on your time,the international monetary fund,0,intermediate,economics & finance,9.0,9.0,81.0,25
administración pública y fiscal: cómo se gestiona un gobierno,49189,self-paced on your time,inter-american development bank,0,beginner,economics & finance,3.5,10.0,35.0,25
fundamentals of red hat enterprise linux,53788,self-paced on your time,red hat,0,beginner,computer science,2.0,9.0,18.0,99
algorithms,61722,self-paced on your time,iitbombay,1,intermediate,computer science,7.0,6.0,42.0,149
calculus applied!,54976,self-paced on your time,harvard university,1,intermediate,math,4.5,10.0,45.0,99
precalculus,55576,self-paced on your time,arizona state university,1,intermediate,math,9.5,15.0,142.5,49
fundamentos de anatomía y técnica quirúrgica básica,12133,instructor-led on a course schedule,universidad del rosario,1,beginner,medicine,5.0,4.0,20.0,49
business communications,60713,self-paced on your time,university of british columbia,1,beginner,business & management,4.0,6.0,24.0,150
italian language and culture: intermediate (2019-2020),35058,self-paced on your time,wellesley college,1,intermediate,language,4.0,12.0,48.0,49
international women's health and human rights,9796,self-paced on your time,stanford university,1,beginner,social sciences,3.0,10.0,30.0,50
blockchain: understanding its uses and implications,66769,self-paced on your time,the linux foundation,0,beginner,business & management,2.5,14.0,35.0,199
"a-level mathematics for year 12 - course 1: algebraic methods, graphs and applied mathematics methods",22366,self-paced on your time,imperial college london,1,intermediate,math,3.0,7.0,21.0,49
blockchain technology,55376,self-paced on your time,"university of california, berkeley",1,intermediate,computer science,4.0,6.0,24.0,99
basics of power bi,8314,self-paced on your time,rolls-royce,0,beginner,data analysis & statistics,3.0,2.0,6.0,49
preparing to network in english,34337,self-paced on your time,university of washington,1,beginner,language,4.0,6.0,24.0,149
mandarin chinese essentials,36665,self-paced on your time,mandarinx,0,beginner,language,7.0,5.0,35.0,99
human rights: the rights of refugees,84270,self-paced on your time,amnesty international,0,beginner,humanities,4.0,3.0,12.0,49
what do architects and urban planners do?,11046,self-paced on your time,wits university,1,beginner,architecture,2.5,3.0,7.5,49
"u.s. political institutions: congress, presidency, courts, and bureaucracy",22723,self-paced on your time,harvard university,1,beginner,social sciences,3.0,4.0,12.0,49
negotiation skills and effective communication,8146,self-paced on your time,tecnológico de monterrey,1,intermediate,business & management,6.5,4.0,26.0,149
ap® english literature & composition – part 1: stories,15650,self-paced on your time,"university of california, berkeley",1,beginner,humanities,4.5,7.0,31.5,49
"viruses & how to beat them: cells, immunity, vaccines",28710,self-paced on your time,israelx-tel aviv university,1,beginner,medicine,2.5,7.0,17.5,149
alianzas: un vehículo para lograr el desarrollo sostenible,17554,self-paced on your time,inter-american development bank,0,beginner,social sciences,3.5,10.0,35.0,25
designing and creating skirts,13954,self-paced on your time,the hong kong polytechnic university,1,beginner,design,4.0,5.0,20.0,99
cómo aprender online,7958,self-paced on your time,edx,0,beginner,education & teacher training,2.5,2.0,5.0,49
computing in python ii: control structures,31511,self-paced on your time,the georgia institute of technology,1,beginner,computer science,9.5,5.0,47.5,99
facebook ads: cómo utilizar el poder de la publicidad en facebook,29614,self-paced on your time,universidad galileo,1,beginner,communication,3.5,5.0,17.5,49
machine learning fundamentals,82008,self-paced on your time,"the university of california, san diego",1,expert,data analysis & statistics,9.0,10.0,90.0,350
pre-university calculus,103224,self-paced on your time,delft university of technology,1,beginner,math,7.0,8.0,56.0,50
tsinghua chinese: start talking with 1.3 billion people,58834,self-paced on your time,tsinghua university,1,beginner,language,2.5,6.0,15.0,49
deep learning with python and pytorch,36195,self-paced on your time,ibm,0,intermediate,data analysis & statistics,3.0,6.0,18.0,99
diseña presentaciones eficaces con powerpoint,36663,self-paced on your time,universitat politècnica de valencia,0,beginner,computer science,7.0,3.0,21.0,50
world of wine: from grape to glass,81839,self-paced on your time,university of adelaide,1,beginner,science,2.5,6.0,15.0,199
sustainable cities,16619,self-paced on your time,sdg academy,0,intermediate,environmental studies,5.0,9.0,45.0,49
introduction to developmental psychology,38060,self-paced on your time,the university of queensland,1,beginner,humanities,1.5,8.0,12.0,99
creativity & entrepreneurship,69413,self-paced on your time,berklee college of music,1,beginner,business & management,4.0,4.0,16.0,49
college algebra and problem solving,103010,self-paced on your time,arizona state university,1,beginner,math,8.5,15.0,127.5,49
academic writing for clarity and meaning,16220,self-paced on your time,wits university,1,beginner,education & teacher training,2.5,2.0,5.0,49
financial development and financial inclusion,13853,self-paced on your time,the international monetary fund,0,intermediate,economics & finance,9.0,7.0,63.0,25
global public health,17273,self-paced on your time,sdg academy,0,intermediate,health & safety,5.0,10.0,50.0,49
embedded systems - shape the world: microcontroller input/output,69182,self-paced on your time,the university of texas at austin,1,intermediate,computer science,9.0,8.0,72.0,49
introduction to animal behaviour,42135,self-paced on your time,wageningen university & research,1,beginner,biology & life sciences,5.0,6.0,30.0,49
circular economy: an introduction,50240,self-paced on your time,delft university of technology,1,beginner,business & management,4.5,7.0,31.5,50
public financial management,23288,self-paced on your time,the international monetary fund,0,intermediate,economics & finance,5.0,8.0,40.0,25
anatomy: human neuroanatomy,49319,self-paced on your time,the university of michigan,1,beginner,biology & life sciences,3.5,8.0,28.0,49
android: introducción a la programación,85786,self-paced on your time,universitat politècnica de valencia,0,beginner,computer science,4.5,10.0,45.0,50
the ancient greek hero,51744,instructor-led on a course schedule,harvard university,1,beginner,humanities,10.0,18.0,180.0,99
agile leadership principles and practices,31838,self-paced on your time,"the university of maryland, college park-university system of maryland",1,expert,engineering,2.5,4.0,10.0,199
how to code: simple data,98113,self-paced on your time,university of british columbia,1,beginner,computer science,2.5,7.0,17.5,125
cybersecurity and privacy in the iot,21440,self-paced on your time,curtin university,1,beginner,computer science,5.0,5.0,25.0,199
strategic management,71085,self-paced on your time,indian institute of management bangalore,1,beginner,business & management,4.0,5.0,20.0,150
introducción a la ciencia de datos y sus aplicaciones,7303,self-paced on your time,ibm,0,beginner,data analysis & statistics,4.5,6.0,27.0,39
"biochemistry: biomolecules, methods, and mechanisms",18692,instructor-led on a course schedule,massachusetts institute of technology,1,intermediate,biology & life sciences,4.5,12.0,54.0,150
astronomía virtual,10500,self-paced on your time,universidad nacional de córdoba,1,beginner,science,6.0,7.0,42.0,29
nutrition and cancer,27144,self-paced on your time,wageningen university & research,1,intermediate,food & nutrition,7.0,5.0,35.0,99
build your very first ios app,31570,instructor-led on a course schedule,curtin university,1,beginner,computer science,9.0,8.0,72.0,149
object-oriented programming,93633,self-paced on your time,iitbombay,1,beginner,computer science,7.0,4.0,28.0,149
introduction to jenkins,7233,self-paced on your time,the linux foundation,0,beginner,computer science,2.5,10.0,25.0,199
conducting an informational interview,15594,self-paced on your time,university of washington,1,beginner,language,4.0,8.0,32.0,99
liderazgo y comportamiento organizacional,21419,self-paced on your time,tecnológico de monterrey,1,beginner,business & management,6.5,4.0,26.0,149
creative coding,18660,instructor-led on a course schedule,new york university,1,beginner,design,9.0,14.0,126.0,249
análisis estadístico con excel,22717,self-paced on your time,universidad galileo,1,beginner,data analysis & statistics,4.0,4.0,16.0,49
introducción a la ingeniería del software,17931,self-paced on your time,universidad autónoma de madrid,1,beginner,computer science,4.5,5.0,22.5,49
computer graphics,98553,self-paced on your time,"the university of california, san diego",1,intermediate,computer science,9.0,6.0,54.0,99
data science: computational thinking with python,78232,self-paced on your time,"university of california, berkeley",1,beginner,computer science,5.0,5.0,25.0,199
comunicación efectiva para el líder actual,18470,self-paced on your time,tecnológico de monterrey,1,beginner,communication,6.5,4.0,26.0,149
debate y argumentación,10954,self-paced on your time,universidad del rosario,1,beginner,humanities,5.0,4.0,20.0,49
deep learning with tensorflow,37564,self-paced on your time,ibm,0,intermediate,data analysis & statistics,3.0,5.0,15.0,99
machine learning (aprendizaje automático) con python: una introducción práctica,39155,self-paced on your time,ibm,0,beginner,computer science,5.0,5.0,25.0,49
essential human biology: cells and tissues,67961,self-paced on your time,university of adelaide,1,beginner,medicine,2.5,5.0,12.5,169
"writing, presenting and submitting scientific papers in english | 英文科技论文写作与学术报告",35720,self-paced on your time,tsinghua university,1,intermediate,communication,2.5,5.0,12.5,49
computing in python iii: data structures,27239,self-paced on your time,the georgia institute of technology,1,beginner,computer science,9.5,5.0,47.5,99
introduction to internet of things (iot),6703,self-paced on your time,rolls-royce,0,beginner,data analysis & statistics,3.0,2.0,6.0,49
nutrition and health: food risks,51493,self-paced on your time,wageningen university & research,1,beginner,biology & life sciences,7.0,8.0,56.0,49
